Protein ID,HL Source,CLClim0NE Clim0 half life (min),gene symbol,Stability
EG12132-MONOMER,Clim0 (protease substrate),71.9000000000147,iscA,Less Stable
EG12179-MONOMER,Clim0 (protease substrate),129.3,cspE,Less Stable
EG12204-MONOMER,Clim0 (protease substrate),193.70000000000005,cspC,Less Stable
EG12265-MONOMER,Clim0 (protease substrate),256.9,bcsG,Less Stable
EG12289-MONOMER,Clim0 (protease substrate),653.5,yiaU,More Stable
EG12303-MONOMER,Clim0 (protease substrate),283.5,ycfH,Less Stable
EG12308-MONOMER,Clim0 (protease substrate),258.7,yfhH,Less Stable
EG12329-MONOMER,Clim0 (protease substrate),278.9,hrpB,Less Stable
EG12332-MONOMER,Clim0 (protease substrate),97.40000000000221,erpA,Less Stable
EG12352-MONOMER,Clim0 (protease substrate),334.20000000000005,ppiC,Less Stable
EG12401-MONOMER,Clim0 (protease substrate),80.90000000000884,rlmN,Less Stable
EG12407-MONOMER,Clim0 (protease substrate),299.20000000000005,iaaA,Less Stable
EG12432-MONOMER,Clim0 (protease substrate),311.9,ydiF,Less Stable
EG12690-MONOMER,Clim0 (protease substrate),323.70000000000005,rarA,Less Stable
EG12693-MONOMER,Clim0 (protease substrate),302.00000000000006,nudL,Less Stable
EG12866-MONOMER,Clim0 (protease substrate),270.80000000000007,proQ,Less Stable
EG12879-MONOMER,Clim0 (protease substrate),240.20000000000002,ybcJ,Less Stable
EG50003-MONOMER,Clim0 (protease substrate),296.7,acpP,Less Stable
F16B-MONOMER,Clim0 (protease substrate),301.0,fbp,Less Stable
FADB-MONOMER,Clim0 (protease substrate),293.1,fadB,Less Stable
FUCISOM-MONOMER,Clim0 (protease substrate),307.1000000000001,fucI,Less Stable
G6152-MONOMER,Clim0 (protease substrate),52.60000000000976,intF,Less Stable
G6195-MONOMER,Clim0 (protease substrate),241.2,prpR,Less Stable
G6337-MONOMER,Clim0 (protease substrate),61.30000000001785,rnk,Less Stable
G6363-MONOMER,Clim0 (protease substrate),288.59999999999997,ybeZ,Less Stable
G6364-MONOMER,Clim0 (protease substrate),90.30000000005097,miaB,Less Stable
G6379-MONOMER,Clim0 (protease substrate),619.2000000000002,ybgI,More Stable
G6406-MONOMER,Clim0 (protease substrate),322.1,clsB,Less Stable
G6424-MONOMER,Clim0 (protease substrate),260.6,ybiU,Less Stable
G6442-MONOMER,Clim0 (protease substrate),237.5,ybjI,Less Stable
G6464-MONOMER,Clim0 (protease substrate),53.400000000003246,ftsK,Less Stable
G6472-MONOMER,Clim0 (protease substrate),283.8999999999999,ycaR,Less Stable
G6569-MONOMER,Clim0 (protease substrate),101.50000000000502,comR,Less Stable
G6581-MONOMER,Clim0 (protease substrate),304.3,rluE,Less Stable
G6662-MONOMER,Clim0 (protease substrate),282.9,mpaA,Less Stable
G6701-MONOMER,Clim0 (protease substrate),201.1,ydbK,Less Stable
G6731-MONOMER,Clim0 (protease substrate),203.30000000000004,azoR,Less Stable
G6737-MONOMER,Clim0 (protease substrate),189.5,ydcI,Less Stable
G6783-MONOMER,Clim0 (protease substrate),256.0,dosP,Less Stable
G6791-MONOMER,Clim0 (protease substrate),141.0,ydeP,Less Stable
G6811-MONOMER,Clim0 (protease substrate),283.1,sad,Less Stable
G6815-MONOMER,Clim0 (protease substrate),249.89999999999998,ydfZ,Less Stable
G6843-MONOMER,Clim0 (protease substrate),98.50000000006371,ynfC,Less Stable
G6890-MONOMER,Clim0 (protease substrate),127.59999999999998,nemA,Less Stable
G6894-MONOMER,Clim0 (protease substrate),69.0000000000067,ydhQ,Less Stable
G6896-MONOMER,Clim0 (protease substrate),312.2000000000001,ydhS,Less Stable
G6906-MONOMER,Clim0 (protease substrate),521.8,sufS,Less Stable
G6907-MONOMER,Clim0 (protease substrate),234.40000000000003,sufD,Less Stable
G6909-MONOMER,Clim0 (protease substrate),187.2,sufB,Less Stable
G6970-MONOMER,Clim0 (protease substrate),82.40000000003211,yeaH,Less Stable
G7131-MONOMER,Clim0 (protease substrate),302.50000000000006,yegU,Less Stable
G7133-MONOMER,Clim0 (protease substrate),290.6,yegW,Less Stable
G7162-MONOMER,Clim0 (protease substrate),315.9,yfaY,Less Stable
G7168-MONOMER,Clim0 (protease substrate),292.90000000000003,arnA,Less Stable
G7169-MONOMER,Clim0 (protease substrate),323.30000000000007,arnD,Less Stable
G7174-MONOMER,Clim0 (protease substrate),257.70000000000005,elaA,Less Stable
G7184-MONOMER,Clim0 (protease substrate),338.1000000000001,alaA,Less Stable
G7200-MONOMER,Clim0 (protease substrate),203.2,yfcL,Less Stable
G7211-MONOMER,Clim0 (protease substrate),63.70000000000354,sixA,Less Stable
G7214-MONOMER,Clim0 (protease substrate),248.40000000000003,yfcZ,Less Stable
G7242-MONOMER,Clim0 (protease substrate),235.10000000000005,alaC,Less Stable
G7263-MONOMER,Clim0 (protease substrate),316.80000000000007,murQ,Less Stable
G7296-MONOMER,Clim0 (protease substrate),358.20000000000005,ypfH,Less Stable
G7311-MONOMER,Clim0 (protease substrate),304.99999999999994,bepA,Less Stable
G7324-MONOMER,Clim0 (protease substrate),114.0000000000081,iscU,Less Stable
G7325-MONOMER,Clim0 (protease substrate),134.0,iscS,Less Stable
G7326-MONOMER,Clim0 (protease substrate),73.00000000002731,iscR,Less Stable
G7395-MONOMER,Clim0 (protease substrate),333.30000000000007,kbp,Less Stable
G7398-MONOMER,Clim0 (protease substrate),537.7,ygaP,Less Stable
G7454-MONOMER,Clim0 (protease substrate),335.1,csdA,Less Stable
G7502-MONOMER,Clim0 (protease substrate),614.6,guaD,More Stable
G7532-MONOMER,Clim0 (protease substrate),308.4,yggX,Less Stable
G7596-MONOMER,Clim0 (protease substrate),22.700000000002383,patA,Less Stable
G7656-MONOMER,Clim0 (protease substrate),215.1,obgE,Less Stable
G7678-MONOMER,Clim0 (protease substrate),250.2,nanR,Less Stable
G7715-MONOMER,Clim0 (protease substrate),281.7,yheO,Less Stable
G7746-MONOMER,Clim0 (protease substrate),281.3999999999999,yhgF,Less Stable
G7748-MONOMER,Clim0 (protease substrate),204.0,nfuA,Less Stable
G7808-MONOMER,Clim0 (protease substrate),264.5,tatB,Less Stable
G7836-MONOMER,Clim0 (protease substrate),84.40000000002705,epmB,Less Stable
G7865-MONOMER,Clim0 (protease substrate),340.4,fklB,Less Stable
G7883-MONOMER,Clim0 (protease substrate),487.09999999999997,tabA,Less Stable
G7951-MONOMER,Clim0 (protease substrate),233.40000000000003,yjjU,Less Stable
GABATRANSAM-MONOMER,Clim0 (protease substrate),291.3,gabT,Less Stable
GCVT-MONOMER,Clim0 (protease substrate),342.8,gcvT,Less Stable
GDHA-MONOMER,Clim0 (protease substrate),279.5,gdhA,Less Stable
GKI-MONOMER,Clim0 (protease substrate),301.0,garK,Less Stable
GLND-MONOMER,Clim0 (protease substrate),281.1,glnD,Less Stable
GPH-MONOMER,Clim0 (protease substrate),333.40000000000003,gph,Less Stable
GTP-CYCLOHYDRO-I-MONOMER,Clim0 (protease substrate),207.8,folE,Less Stable
H2NTPEPIM-MONOMER,Clim0 (protease substrate),286.4,folX,Less Stable
HOMOCYSMETB12-MONOMER,Clim0 (protease substrate),303.1,metH,Less Stable
L-ASPARTATE-OXID-MONOMER,Clim0 (protease substrate),264.6000000000001,nadB,Less Stable
L-LACTDEHYDROGFMN-MONOMER,Clim0 (protease substrate),225.90000000000006,lldD,Less Stable
LARGEILVB-MONOMER,Clim0 (protease substrate),144.3,ilvB,Less Stable
LEUC-MONOMER,Clim0 (protease substrate),190.0,leuC,Less Stable
LEUD-MONOMER,Clim0 (protease substrate),181.40000000000003,leuD,Less Stable
LSERINEDEAM1-MONOMER,Clim0 (protease substrate),91.40000000003862,sdaA,Less Stable
MONOMER0-149,Clim0 (protease substrate),323.20000000000005,dkgB,Less Stable
MONOMER0-2383,Clim0 (protease substrate),266.0,dnaX,Less Stable
N-ACETYLTRANSFER-MONOMER,Clim0 (protease substrate),197.3,argA,Less Stable
NACMURLALAAMI2-MONOMER,Clim0 (protease substrate),98.30000000001115,amiB,Less Stable
NARP-MONOMER,Clim0 (protease substrate),204.90000000000003,narP,Less Stable
PAPSSULFOTRANS-MONOMER,Clim0 (protease substrate),126.9,cysH,Less Stable
PD00197,Clim0 (protease substrate),74.00000000002063,fnr,Less Stable
PD00205,Clim0 (protease substrate),192.60000000000002,lexA,Less Stable
PD00214,Clim0 (protease substrate),305.9000000000001,oxyR,Less Stable
PD02936,Clim0 (protease substrate),320.1,fhlA,Less Stable
PD03270,Clim0 (protease substrate),221.69999999999996,exuR,Less Stable
PD03831,Clim0 (protease substrate),233.8,dnaA,Less Stable
PD03938,Clim0 (protease substrate),48.700000000001104,metR,Less Stable
PPX-MONOMER,Clim0 (protease substrate),281.3999999999999,ppx,Less Stable
PUTA-MONOMER,Clim0 (protease substrate),210.10000000000002,putA,Less Stable
PYRUVFORMLY-MONOMER,Clim0 (protease substrate),182.6,pflB,Less Stable
QUINOLINATE-SYNTHA-MONOMER,Clim0 (protease substrate),68.30000000001189,nadA,Less Stable
RED-THIOREDOXIN2-MONOMER,Clim0 (protease substrate),185.2,trxC,Less Stable
RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER,Clim0 (protease substrate),157.70000000000002,nrdD,Less Stable
RPOB-MONOMER,Clim0 (protease substrate),322.1,rpoB,Less Stable
RPOC-MONOMER,Clim0 (protease substrate),294.4,rpoC,Less Stable
RPOD-MONOMER,Clim0 (protease substrate),294.2,rpoD,Less Stable
RPOS-MONOMER,Clim0 (protease substrate),17.700000000000895,rpoS,Less Stable
S-ADENMETSYN-MONOMER,Clim0 (protease substrate),277.6,metK,Less Stable
SECG,Clim0 (protease substrate),294.90000000000003,secG,Less Stable
SUCCARGDIHYDRO-MONOMER,Clim0 (protease substrate),310.20000000000005,astB,Less Stable
SUCCGLUALDDEHYD-MONOMER,Clim0 (protease substrate),330.0,astD,Less Stable
SUCCGLUDESUCC-MONOMER,Clim0 (protease substrate),118.60000000000001,astE,Less Stable
SUCCORNTRANSAM-MONOMER,Clim0 (protease substrate),266.49999999999994,astC,Less Stable
THI-P-KIN-MONOMER,Clim0 (protease substrate),324.6000000000001,thiL,Less Stable
THIC-MONOMER,Clim0 (protease substrate),84.80000000001483,thiC,Less Stable
THIE-MONOMER,Clim0 (protease substrate),285.4,thiE,Less Stable
THIF-MONOMER,Clim0 (protease substrate),241.80000000000004,thiF,Less Stable
THIG-MONOMER,Clim0 (protease substrate),95.20000000001336,thiG,Less Stable
THIH-MONOMER,Clim0 (protease substrate),56.90000000001872,thiH,Less Stable
THIOREDOXIN-REDUCT-NADPH-MONOMER,Clim0 (protease substrate),344.50000000000006,trxB,Less Stable
THZ-KIN-MONOMER,Clim0 (protease substrate),293.7,thiM,Less Stable
TRANSKETOI-MONOMER,Clim0 (protease substrate),311.6000000000001,tktA,Less Stable
TREHALOSE6PSYN-MONOMER,Clim0 (protease substrate),231.5,otsA,Less Stable
TRYPSYN-BPROTEIN,Clim0 (protease substrate),316.80000000000007,trpB,Less Stable
UDPACYLGLCNACDEACETYL-MONOMER,Clim0 (protease substrate),28.00000000000393,lpxC,Less Stable
UDPGLCNACEPIM-MONOMER,Clim0 (protease substrate),348.0,wecB,Less Stable
UGD-MONOMER,Clim0 (protease substrate),215.4,ugd,Less Stable
UHPA-MONOMER,Clim0 (protease substrate),255.40000000000003,uhpA,Less Stable
UROGENDECARBOX-MONOMER,Clim0 (protease substrate),356.3,hemE,Less Stable
VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,Clim0 (protease substrate),255.5,avtA,Less Stable
YHES-MONOMER,Clim0 (protease substrate),257.8,yheS,Less Stable
YHHO-MONOMER,Clim0 (protease substrate),272.9,zntA,Less Stable
YLIA-MONOMER,Clim0 (protease substrate),237.20000000000002,gsiA,Less Stable
ZNUC-MONOMER,Clim0 (protease substrate),263.3,znuC,Less Stable
1-PFK-MONOMER,Clim0,720.0000000000001,fruK,More Stable
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,Clim0,280.5,ubiE,Less Stable
2-OCTAPRENYLPHENOL-HYDROX-MONOMER,Clim0,720.0000000000001,ubiB,More Stable
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER,Clim0,720.0000000000001,panB,More Stable
3-ISOPROPYLMALDEHYDROG-MONOMER,Clim0,303.4,leuB,Less Stable
3-OXOACYL-ACP-REDUCT-MONOMER,Clim0,720.0000000000001,fabG,More Stable
3-OXOACYL-ACP-SYNTHII-MONOMER,Clim0,720.0000000000001,fabF,More Stable
6PFK-1-MONOMER,Clim0,349.70000000000005,pfkA,Less Stable
6PFK-2-MONOMER,Clim0,642.7,pfkB,More Stable
6PGLUCONDEHYDROG-MONOMER,Clim0,351.1000000000001,gnd,Less Stable
6PGLUCONOLACT-MONOMER,Clim0,663.8,pgl,More Stable
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER,Clim0,330.50000000000006,hdhA,Less Stable
7KAPSYN-MONOMER,Clim0,309.8,bioF,Less Stable
AAS-MONOMER,Clim0,720.0000000000001,aas,More Stable
ABC-MONOMER,Clim0,345.6,metN,Less Stable
ACETOLACTSYNIII-HCHAIN-MONOMER,Clim0,355.8999999999999,ilvH,Less Stable
ACETOLACTSYNIII-ICHAIN-MONOMER,Clim0,664.3,ilvI,More Stable
ACETYLGLUTKIN-MONOMER,Clim0,311.4,argB,Less Stable
ACETYLORNDEACET-MONOMER,Clim0,327.8,argE,Less Stable
ACETYLORNTRANSAM-MONOMER,Clim0,550.8000000000001,argD,Less Stable
ACNEULY-MONOMER,Clim0,228.3,nanA,Less Stable
ACONITASE-MONOMER,Clim0,328.00000000000006,acnA,Less Stable
ACRB-MONOMER,Clim0,720.0000000000001,acrB,More Stable
ACRD-MONOMER,Clim0,718.9999999999999,acrD,More Stable
ACS-MONOMER,Clim0,294.3,acs,Less Stable
ACSERLYA-MONOMER,Clim0,708.2999999999998,cysK,More Stable
ACSERLYB-MONOMER,Clim0,614.4000000000001,cysM,More Stable
ACYLCOASYN-MONOMER,Clim0,238.7,fadD,Less Stable
ADCLY-MONOMER,Clim0,334.9,pabC,Less Stable
ADENODEAMIN-MONOMER,Clim0,635.3000000000001,add,More Stable
ADENPRIBOSYLTRAN-MONOMER,Clim0,274.5,apt,Less Stable
ADENYL-KIN-MONOMER,Clim0,677.2,adk,More Stable
ADENYLOSUCCINATE-SYN-MONOMER,Clim0,351.8,purA,Less Stable
ADENYLYLSULFKIN-MONOMER,Clim0,287.7,cysC,Less Stable
ADHC-MONOMER,Clim0,352.0,frmA,Less Stable
ADHE-MONOMER,Clim0,310.0,adhE,Less Stable
AGAB-MONOMER,Clim0,303.90000000000003,agaB,Less Stable
AGMATIN-MONOMER,Clim0,709.1,speB,More Stable
AICARTRANSIMPCYCLO-CPLX,Clim0,352.50000000000006,purH,Less Stable
AIRS-MONOMER,Clim0,339.6,purM,Less Stable
AKBLIG-MONOMER,Clim0,720.0000000000001,kbl,More Stable
ALARACEBIOSYN-MONOMER,Clim0,345.09999999999997,alr,Less Stable
ALARACECAT-MONOMER,Clim0,594.3000000000001,dadX,Less Stable
ALAS-MONOMER,Clim0,661.8000000000001,alaS,More Stable
ALDDEHYDROGB-MONOMER,Clim0,305.9000000000001,aldB,Less Stable
ALDHDEHYDROG-MONOMER,Clim0,161.10000000000002,puuC,Less Stable
ALDOSE1EPIM-MONOMER,Clim0,720.0000000000001,galM,More Stable
ALKAPHOSPHA-MONOMER,Clim0,720.0000000000001,phoA,More Stable
ALPHA-AMYL-CYTO-MONOMER,Clim0,720.0000000000001,amyA,More Stable
ALPHA-AMYL-PERI-MONOMER,Clim0,720.0000000000001,malS,More Stable
ALPHAGALACTOSID-MONOMER,Clim0,254.8,melA,Less Stable
ALTRO-OXIDOREDUCT-MONOMER,Clim0,275.1,uxaB,Less Stable
AMP-NUCLEOSID-MONOMER,Clim0,635.3000000000001,amn,More Stable
AMYLOMALT-MONOMER,Clim0,720.0000000000001,malQ,More Stable
ANSA-MONOMER,Clim0,720.0000000000001,ansA,More Stable
ANSB-MONOMER,Clim0,720.0000000000001,ansB,More Stable
ANTHRANSYNCOMPI-MONOMER,Clim0,342.3,trpE,Less Stable
APHA-MONOMER,Clim0,704.0,aphA,More Stable
APPA-MONOMER,Clim0,694.4,appA,More Stable
ARABISOM-MONOMER,Clim0,346.3,araA,Less Stable
ARAF-MONOMER,Clim0,720.0000000000001,araF,More Stable
ARAG-MONOMER,Clim0,235.3,araG,Less Stable
ARAH-MONOMER,Clim0,242.50000000000006,araH,Less Stable
ARCA-MONOMER,Clim0,346.9,arcA,Less Stable
ARCB-MONOMER,Clim0,353.00000000000006,arcB,Less Stable
ARGDECARBOXBIO-MONOMER,Clim0,325.6,speA,Less Stable
ARGDECARBOXDEG-MONOMER,Clim0,308.6,adiA,Less Stable
ARGS-MONOMER,Clim0,353.2,argS,Less Stable
ARGSUCCINLYA-MONOMER,Clim0,335.2,argH,Less Stable
ARGSUCCINSYN-MONOMER,Clim0,316.2,argG,Less Stable
ARGT-MONOMER,Clim0,694.8000000000001,argT,More Stable
AROA-MONOMER,Clim0,357.3,aroA,Less Stable
AROB-MONOMER,Clim0,309.7,aroB,Less Stable
AROC-MONOMER,Clim0,720.0000000000001,aroC,More Stable
AROF-MONOMER,Clim0,134.5,aroF,Less Stable
AROH-MONOMER,Clim0,617.5,aroH,More Stable
ARTI-MONOMER,Clim0,354.2,artI,Less Stable
ARTJ-MONOMER,Clim0,559.1,artJ,Less Stable
ARTQ-MONOMER,Clim0,713.4,artQ,More Stable
ASL-MONOMER,Clim0,333.0,purB,Less Stable
ASNS-MONOMER,Clim0,693.0000000000001,asnS,More Stable
