Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Regulated-By	GO terms (biological process)	Transcription Units	gene ID	Pathways of gene	TU ID
napG	b2205	2299565	2300260	ferredoxin-type protein NapG			napFDAGHBC // napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH	EG12064	<i>sn</i>-glycerol 3-phosphate anaerobic respiration	napFDAGHBC // napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH
yafL	b0227	246712	247461	NlpC/P60 family protein YafL	Regulation of yafL by DNA-binding transcriptional activator YgfI	proteolysis	yafL	G6111		yafL
eutL	b2439	2555741	2556400	putative structural protein, ethanolamine utilization microcompartment		ethanolamine catabolic process	eutBCLKR	G7271		eutBCLKR
map	b0168	188712	189506	methionine aminopeptidase	Regulation of map by small regulatory RNA GcvB // Regulation of map by DNA-binding transcriptional dual regulator Nac	proteolysis	map-glnD-dapD	EG10570		map-glnD-dapD
fdoH	b3893	4081857	4082759	formate dehydrogenase O subunit &beta;		anaerobic electron transport chain // heme oxidation // respiratory electron transport chain // formate oxidation // cellular respiration // anaerobic respiration	fdoGHI-fdhE	EG11857	nitrate reduction III (dissimilatory) // formate to dimethyl sulfoxide electron transfer // formate to nitrite electron transfer // formate to trimethylamine <i>N</i>-oxide electron transfer	fdoGHI-fdhE
puuB	b1301	1364232	1365512	&gamma;-glutamylputrescine oxidase	Regulation of puuB by LuxR family transcriptional regulator FimZ // Regulation of puuB by ArgR-L-arginine DNA-binding transcriptional dual regulator	putrescine catabolic process	puuDRCBE // puuCBE	EG11822	superpathway of L-arginine and L-ornithine degradation // superpathway of ornithine degradation // superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // putrescine degradation II	puuDRCBE // puuCBE
asompR	b4842	3536438	3536775	small antisense RNA AsompR				G0-17123		
ldhA	b1380	1441854	1442843	D-lactate dehydrogenase	Regulation of ldhA by DNA-binding transcriptional dual regulator Lrp	protein homotetramerization // response to heat // mixed acid fermentation	ldhA	G592	mixed acid fermentation // pyruvate fermentation to (<i>R</i>)-lactate	ldhA
narP	b2193	2290500	2291147	DNA-binding transcriptional dual regulator NarP-phosphorylated // DNA-binding transcriptional dual regulator NarP	Regulation of narP by small regulatory RNA RprA // Regulation of narP by small regulatory RNA SdsN	nitrate assimilation // phosphorelay signal transduction system // regulation of DNA-templated transcription	narP	EG11527	NarQ Two-Component Signal Transduction System, nitrate dependent // NarX Two-Component Signal Transduction System, nitrate dependent	narP
evgL	b4781	2483729	2483758	protein EvgL				G0-17027		
puuE	b1302	1365550	1366815	4-aminobutyrate aminotransferase PuuE	Regulation of puuE by small regulatory RNA Spot 42	gamma-aminobutyric acid catabolic process // gamma-aminobutyric acid metabolic process // putrescine catabolic process	puuDRCBE // puuCBE	G6646	superpathway of L-arginine and L-ornithine degradation // superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // superpathway of 4-aminobutanoate degradation // 4-aminobutanoate degradation I // L-lysine degradation I	puuDRCBE // puuCBE
hycD	b2722	2846489	2847412	hydrogenase 3 membrane subunit HycD		anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process	hycABCDEFGHI	EG10477	mixed acid fermentation // hydrogen production V	hycABCDEFGHI
narI	b1227	1285849	1286526	nitrate reductase A subunit &gamma;		nitrate metabolic process // anaerobic electron transport chain // nitrate assimilation // anaerobic respiration	narGHJI	EG10640	nitrate reduction III (dissimilatory) // nitrate reduction VIII (dissimilatory) // nitrate reduction IX (dissimilatory) // nitrate reduction VIIIb (dissimilatory)	narGHJI
yqiD	b4756	3183381	3183551	protein YqiD				G0-16750		
tauC	b0367	386971	387798	taurine ABC transporter membrane subunit		transmembrane transport // taurine transport // cellular response to sulfur starvation	tauABCD	G6219		tauABCD
ttdA	b3061	3206463	3207374	L(+)-tartrate dehydratase subunit &alpha;	Regulation of ttdA by DNA-binding transcriptional repressor GlaR	metabolic process // tartrate catabolic process // single-species biofilm formation // tartrate metabolic process	ttdABT	EG11168		ttdABT
glpC	b2243	2355521	2356711	anaerobic glycerol-3-phosphate dehydrogenase subunit C		glycerol catabolic process // glycerol-3-phosphate catabolic process // anaerobic respiration // electron transport chain	glpABC	EG10393	glycerol and glycerophosphodiester degradation // glycerol degradation I // glycerophosphodiester degradation // nitrate reduction IX (dissimilatory) // glycerol-3-phosphate to fumarate electron transfer // glycerol-3-phosphate to hydrogen peroxide electron transport	glpABC
ymgK	b4738	1212260	1212304	protein YmgK				G0-16733		
potE	b0692	716946	718265	putrescine transporter PotE		transmembrane transport // ornithine transport // L-ornithine transmembrane transport // amino acid transport // putrescine transport	speF-potE	EG10753		speF-potE
hycA	b2725	2849974	2850435	regulator of the transcriptional regulator FhlA			hycABCDEFGHI	EG10474		hycABCDEFGHI
hyfF	b2486	2606917	2608497	hydrogenase 4 component F		anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process // DNA damage response	hyfABCDEFGHIJR-focB	G7303		hyfABCDEFGHIJR-focB
eutQ	b2460	2574302	2575003	putative ethanolamine utilization acetate kinase EutQ		phosphorylation // ethanolamine catabolic process	eutSPQTDM	G7290		eutSPQTDM
ytgB	b4822	4486043	4486099	protein YtgB				G0-17096		
pykA	b1854	1937649	1939091	pyruvate kinase 2	Regulation of pykA by DNA-binding transcriptional dual regulator FNR // Regulation of pykA by Qin prophage; small regulatory RNA DicF	phosphorylation // metabolic process // glycolytic process	pykA // pykA // pykA // pykA	EG10803	superpathway of hexitol degradation (bacteria) // superpathway of glycolysis and the Entner-Doudoroff pathway // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // glycolysis II (from fructose 6-phosphate) // mixed acid fermentation // glycolysis I (from glucose 6-phosphate)	pykA // pykA // pykA // pykA
nuoK	b2279	2395043	2395345	NADH:quinone oxidoreductase subunit K		respiratory electron transport chain // ATP synthesis coupled electron transport	nuoABCEFGHIJKLMN // nuoABCEFGHIJKLMN	EG12091	NADH to cytochrome <i>bo</i> oxidase electron transfer I // NADH to cytochrome <i>bd</i> oxidase electron transfer I // NADH to dimethyl sulfoxide electron transfer // nitrate reduction VIII (dissimilatory) // NADH to fumarate electron transfer // NADH to hydrogen peroxide electron transfer // NADH to trimethylamine <i>N</i>-oxide electron transfer	nuoABCEFGHIJKLMN // nuoABCEFGHIJKLMN
yciZ	b4596	1344436	1344609	UPF0509 family protein YciZ	Regulation of yciZ by DNA-binding transcriptional dual regulator Lrp // Regulation of yciZ by DNA-binding transcriptional dual regulator Nac		yciZT	G0-10591		yciZT
potB	b1125	1183617	1184444	spermidine preferential ABC transporter membrane subunit PotB		transmembrane transport // spermidine transmembrane transport // putrescine transport	potABCD	EG10750		potABCD
hycH	b2718	2843036	2843446	formate hydrogenlyase assembly protein		protein-containing complex assembly	hycABCDEFGHI	EG10481		hycABCDEFGHI
napC	b2202	2297657	2298259	periplasmic nitrate reductase cytochrome c protein	Regulation of napC by DNA-binding transcriptional dual regulator Nac	electron transport chain // denitrification pathway // anaerobic respiration	napFDAGHBC // napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH	EG12060	cytochrome <i>c</i> biogenesis (system I type)	napFDAGHBC // napFDAGHBC-ccmABCDEFGH // napFDAGHBC-ccmABCDEFGH
ymjC	b4525	1390680	1390862	putative uncharacterized protein YmjC			ycjY-ymjDC-mpaA // ymjC-mpaA	G0-10446		ycjY-ymjDC-mpaA // ymjC-mpaA
eutJ	b2454	2569501	2570337	putative ethanolamine utilization chaperonin EutJ		ethanolamine catabolic process	eutNEJG	G7284		eutNEJG
adhE	b1241	1295446	1298121	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE	Regulation of adhE by FlhDC DNA-binding transcriptional dual regulator // Regulation of adhE by DNA-binding transcriptional activator YgfI // Regulation of adhE by DNA-binding transcriptional dual regulator Lrp // Regulation of adhE by DNA-binding transcriptional dual regulator FNR	metabolic process // alcohol metabolic process // carbon utilization // ethanol biosynthetic process // protein homooligomerization // response to oxidative stress // mixed acid fermentation	adhE // adhE // adhE	EG10031	superpathway of L-threonine metabolism // superpathway of purine deoxyribonucleosides degradation // superpathway of pyrimidine deoxyribonucleosides degradation // L-threonine degradation IV // 2-deoxy-&alpha;-D-ribose 1-phosphate degradation // mixed acid fermentation // ethanol degradation I // ethanolamine utilization // pyruvate fermentation to ethanol I	adhE // adhE // adhE
torA	b0997	1059256	1061802	trimethylamine <i>N</i>-oxide reductase 1	Regulation of torA by DNA-binding transcriptional dual regulator Nac	regulation of pH // anaerobic electron transport chain // aerobic respiration // anaerobic respiration	torCAD	EG11814	formate to trimethylamine <i>N</i>-oxide electron transfer // NADH to trimethylamine <i>N</i>-oxide electron transfer // hydrogen to trimethylamine N-oxide electron transfer	torCAD
yecD	b1867	1950832	1951398	isochorismatase family protein YecD	Regulation of yecD by DNA-binding transcriptional dual regulator Nac		yecDE	EG12378		yecDE
puuC	b1300	1362743	1364230	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase	Regulation of puuC by LuxR family transcriptional regulator FimZ	putrescine catabolic process	puuDRCBE // puuCBE	EG10036	putrescine degradation I // superpathway of 4-aminobutanoate degradation // 4-aminobutanoate degradation I // superpathway of L-arginine and L-ornithine degradation // superpathway of ornithine degradation // superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // putrescine degradation II	puuDRCBE // puuCBE
hycE	b2721	2844762	2846471	hydrogenase 3 large subunit		respiratory electron transport chain // anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process	hycABCDEFGHI	EG10478	mixed acid fermentation // hydrogen production V // NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	hycABCDEFGHI
menB	b2262	2375962	2376819	1,4-dihydroxy-2-naphthoyl-CoA synthase		menaquinone biosynthetic process	menD-yfbB-menBCE // menBCE // menFD-yfbB-menBCE	EG11368	superpathway of menaquinol-8 biosynthesis I // superpathway of chorismate metabolism // 2-carboxy-1,4-naphthoquinol biosynthesis	menD-yfbB-menBCE // menBCE // menFD-yfbB-menBCE
naRNA4		4326005	4326081	naRNA4		bacterial nucleoid packaging // nucleoid organization		G0-16697		
eutA	b2451	2565481	2566884	ethanolamine ammonia-lyase reactivase EutA		ethanolamine catabolic process // protein repair	eutHA	G7281		eutHA
ttdB	b3062	3207371	3207976	L(+)-tartrate dehydratase subunit &beta;		tartrate catabolic process // response to heat	ttdABT	EG11169		ttdABT
menD	b2264	2377589	2379259	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase		small molecule metabolic process // menaquinone biosynthetic process	menD-yfbB-menBCE // menFD-yfbB-menBCE	EG10579	superpathway of menaquinol-8 biosynthesis I // superpathway of chorismate metabolism // 2-carboxy-1,4-naphthoquinol biosynthesis	menD-yfbB-menBCE // menFD-yfbB-menBCE
yjbJ	b4045	4259237	4259446	putative stress response protein YjbJ	Regulation of yjbJ by DNA-binding transcriptional dual regulator Lrp		yjbJ	EG11928		yjbJ
potH	b0856	896134	897087	putrescine ABC transporter membrane subunit PotH		transmembrane transport // putrescine transport	potFGHI // potFGHI	EG11631		potFGHI // potFGHI
hycB	b2724	2849238	2849849	hydrogenase 3 iron-sulfur protein HycB	Regulation of hycB by DNA-binding transcriptional activator YgfI	anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process	hycABCDEFGHI	EG10475	mixed acid fermentation // hydrogen production V	hycABCDEFGHI
frdD	b4151	4379007	4379366	fumarate reductase membrane protein FrdD		anaerobic electron transport chain // fumarate metabolic process // bacterial-type flagellum assembly // anaerobic respiration // fermentation	frdABCD // frdABCD	EG10333	NADH to fumarate electron transfer // glycerol-3-phosphate to fumarate electron transfer // hydrogen to fumarate electron transfer // mixed acid fermentation	frdABCD // frdABCD
ybiB	b0800	835248	836210	nonspecific DNA-binding protein YbiB		tryptophan biosynthetic process	dinG-ybiB // ybiB	EG11580		dinG-ybiB // ybiB
puuA	b1297	1359490	1360908	glutamate-putrescine ligase	Regulation of puuA by AcrR-3,6-diaminoacridine // Regulation of puuA by DNA-binding transcriptional dual regulator ArcA-phosphorylated	polyamine catabolic process // nitrogen compound metabolic process // glutamine biosynthetic process // putrescine catabolic process	puuAP	G6644	superpathway of L-arginine and L-ornithine degradation // superpathway of ornithine degradation // superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation // putrescine degradation II	puuAP
pykF	b1676	1755698	1757110	pyruvate kinase 1		phosphorylation // metabolic process // response to heat // glycolytic process	pykF // pykF // pykF // pykF // pykF // pykF	EG10804	superpathway of hexitol degradation (bacteria) // superpathway of glycolysis and the Entner-Doudoroff pathway // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // glycolysis II (from fructose 6-phosphate) // mixed acid fermentation // glycolysis I (from glucose 6-phosphate)	pykF // pykF // pykF // pykF // pykF // pykF
hyfC	b2483	2603847	2604794	hydrogenase 4 component C		anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process // DNA damage response	hyfABCDEFGHIJR-focB	G7300		hyfABCDEFGHIJR-focB
yjgR	b4263	4488561	4490063	DUF853 domain-containing protein YjgR			yjgR	G7890		yjgR
caiC	b0037	36271	37824	carnitine&mdash;CoA ligase		carnitine metabolic process	caiCDE // caiTABCDE	EG11558	L-carnitine degradation I	caiCDE // caiTABCDE
pflB	b0903	951272	953554	pyruvate formate-lyase	Regulation of pflB by DNA-binding transcriptional activator YgfI // Regulation of pflB by DNA-binding transcriptional dual regulator YeiE	glucose metabolic process // carbohydrate metabolic process	pflB // pflB // pflB // pflB // pflB // focA-pflB // focA-pflB // focA-pflB	EG10701	mixed acid fermentation // pyruvate fermentation to acetate IV // pyruvate fermentation to ethanol I // superpathway of L-threonine metabolism // L-threonine degradation I	pflB // pflB // pflB // pflB // pflB // focA-pflB // focA-pflB // focA-pflB
nuoH	b2282	2396465	2397442	NADH:quinone oxidoreductase subunit H		respiratory electron transport chain // aerobic respiration	nuoABCEFGHIJKLMN // nuoABCEFGHIJKLMN	EG12088	NADH to cytochrome <i>bo</i> oxidase electron transfer I // NADH to cytochrome <i>bd</i> oxidase electron transfer I // NADH to dimethyl sulfoxide electron transfer // nitrate reduction VIII (dissimilatory) // NADH to fumarate electron transfer // NADH to hydrogen peroxide electron transfer // NADH to trimethylamine <i>N</i>-oxide electron transfer	nuoABCEFGHIJKLMN // nuoABCEFGHIJKLMN
eutP	b2461	2574978	2575457	putative ethanolamine utilization acetate kinase EutP		phosphorylation // biogenic amine metabolic process // ethanolamine catabolic process	eutSPQTDM	G7291		eutSPQTDM
esrE	b4707	4019978	4020229	small RNA EsrE			esrE	G0-10737		esrE
fdhF	b4079	4297219	4299366	formate dehydrogenase H		anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process // cellular respiration // formate metabolic process // urate catabolic process	fdhF	EG10285	mixed acid fermentation // hydrogen production V	fdhF
nrfF	b4075	4293163	4293546	putative formate-dependent nitrite reductase complex subunit NrfF	Regulation of nrfF by DNA-binding transcriptional dual regulator Nac	cytochrome c-heme linkage via heme-L-cysteine	nrfABCDEFG	EG11949		nrfABCDEFG
yheT	b3353	3483202	3484224	putative hydrolase YheT		cellular lipid metabolic process	yheSTU	G7718		yheSTU
potC	b1124	1182826	1183620	spermidine preferential ABC transporter membrane subunit PotC		transmembrane transport // putrescine transport // spermidine transmembrane transport	potABCD	EG10751		potABCD
hycF	b2720	2844210	2844752	hydrogenase 3 iron-sulfur protein HycF		anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process // aerobic respiration	hycABCDEFGHI	EG10479	mixed acid fermentation // hydrogen production V	hycABCDEFGHI
hybD	b2993	3140792	3141286	hydrogenase 2 maturation protease		proteolysis // protein processing	hybOABCDEFG	EG11802	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	hybOABCDEFG
yqhG	b3013	3157650	3158576	DUF3828 domain-containing protein YqhG			yqhG	G7566		yqhG
eutE	b2455	2570348	2571751	acetaldehyde dehydrogenase (acetylating) EutE		ethanolamine catabolic process	eutNEJG	G7285	superpathway of L-threonine metabolism // 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation // superpathway of purine deoxyribonucleosides degradation // superpathway of pyrimidine deoxyribonucleosides degradation // mixed acid fermentation // ethanol degradation I // L-threonine degradation IV // 2-hydroxypenta-2,4-dienoate degradation // 2-deoxy-&alpha;-D-ribose 1-phosphate degradation // ethanolamine utilization // pyruvate fermentation to ethanol I	eutNEJG
frmA	b0356	378462	379571	<i>S</i>-(hydroxymethyl)glutathione dehydrogenase		organic substance metabolic process // ethanol oxidation // formaldehyde catabolic process	frmRAB	EG50010	formaldehyde oxidation II (glutathione-dependent)	frmRAB
fdnH	b1475	1550461	1551345	formate dehydrogenase N subunit &beta;		anaerobic electron transport chain // heme oxidation // cellular respiration // formate oxidation // anaerobic respiration	fdnGHI	EG11228	nitrate reduction III (dissimilatory) // formate to dimethyl sulfoxide electron transfer // formate to nitrite electron transfer // formate to trimethylamine <i>N</i>-oxide electron transfer	fdnGHI
ygbM	b2739	2864236	2865012	putative 2-oxo-tetronate isomerase YgbM		glyoxylate metabolic process // carbohydrate metabolic process	ygbLM	G7420		ygbLM
eutB	b2441	2557318	2558679	ethanolamine ammonia-lyase subunit &alpha;		amino acid metabolic process // ethanolamine catabolic process	eutBCLKR	EG50006	ethanolamine utilization	eutBCLKR
hycC	b2723	2847415	2849241	hydrogenase 3 membrane subunit HycC		anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process // ATP synthesis coupled electron transport	hycABCDEFGHI	EG10476	mixed acid fermentation // hydrogen production V	hycABCDEFGHI
hypC	b2728	2851864	2852136	hydrogenase maturation factor HypC		protein-containing complex assembly // protein maturation	hypBCDE-fhlA // hypABCDE-fhlA // hypBCDE // hypABCDE	EG10485	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	hypBCDE-fhlA // hypABCDE-fhlA // hypBCDE // hypABCDE
yeiW	b4502	2265041	2265295	putative metal-chelating domain-containing protein YeiW			yeiW	G0-10511		yeiW
nagE	b0679	703944	705890	N-acetylglucosamine-specific PTS enzyme IIABC component		carbohydrate transport // DNA damage response // phosphorylation // N-acetylglucosamine transport // peptidoglycan turnover // phosphoenolpyruvate-dependent sugar phosphotransferase system	nagE	EG10635		nagE
frsA	b0239	256527	257771	fermentation-respiration switch protein		regulation of carbohydrate catabolic process	frsA	EG11091		frsA
frdA	b4154	4380510	4382318	fumarate reductase flavoprotein subunit	Regulation of frdA by DNA-binding transcriptional dual regulator Lrp	anaerobic electron transport chain // DNA damage response // electron transport chain // bacterial-type flagellum assembly // cilium or flagellum-dependent cell motility // anaerobic respiration // fermentation	frdABCD // frdABCD	EG10330	NADH to fumarate electron transfer // glycerol-3-phosphate to fumarate electron transfer // hydrogen to fumarate electron transfer // mixed acid fermentation	frdABCD // frdABCD
yeeZ	b2016	2088304	2089128	putative epimerase YeeZ			yeeZ	G7089		yeeZ
metF	b3941	4132616	4133506	5,10-methylenetetrahydrofolate reductase		methionine metabolic process // tetrahydrofolate interconversion // methionine biosynthetic process // amino acid biosynthetic process	metF	EG10585	folate transformations III (<i>E. coli</i>)	metF
hypB	b2727	2851001	2851873	hydrogenase isoenzymes nickel incorporation protein HypB		protein-containing complex assembly // protein maturation // protein maturation by nickel ion transfer	hypBCDE-fhlA // hypABCDE-fhlA // hypBCDE // hypABCDE	EG10484	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	hypBCDE-fhlA // hypABCDE-fhlA // hypBCDE // hypABCDE
adhP	b1478	1552828	1553838	ethanol dehydrogenase / alcohol dehydrogenase		acetaldehyde catabolic process // response to ethanol // DNA damage response	adhP	G6775	mixed acid fermentation // ethanol degradation I // ethanolamine utilization // pyruvate fermentation to ethanol I	adhP
yniA	b1725	1807796	1808656	putative kinase YniA		phosphorylation	yniA	G6930		yniA
folA	b0048	49823	50302	dihydrofolate reductase		folic acid metabolic process // dihydrofolate metabolic process // tetrahydrofolate biosynthetic process // glycine biosynthetic process // response to antibiotic // response to methotrexate // one-carbon metabolic process // response to xenobiotic stimulus // folic acid biosynthetic process // 10-formyltetrahydrofolate biosynthetic process	folA	EG10326	superpathway of chorismate metabolism // superpathway of tetrahydrofolate biosynthesis // tetrahydrofolate biosynthesis I // folate transformations III (<i>E. coli</i>)	folA
hycG	b2719	2843443	2844210	hydrogenase 3 iron-sulfur protein HycG		anaerobic electron transport chain // formate oxidation // anaerobic respiration // glucose catabolic process	hycABCDEFGHI	EG10480	mixed acid fermentation // hydrogen production V	hycABCDEFGHI
nuoC	b2286	2402055	2403845	NADH:quinone oxidoreductase subunit CD		respiratory electron transport chain // metabolic process	nuoABCEFGHIJKLMN // nuoABCEFGHIJKLMN	EG12084	NADH to cytochrome <i>bo</i> oxidase electron transfer I // NADH to cytochrome <i>bd</i> oxidase electron transfer I // NADH to dimethyl sulfoxide electron transfer // nitrate reduction VIII (dissimilatory) // NADH to fumarate electron transfer // NADH to hydrogen peroxide electron transfer // NADH to trimethylamine <i>N</i>-oxide electron transfer	nuoABCEFGHIJKLMN // nuoABCEFGHIJKLMN
yddK	b1471	1544758	1545714	leucine-rich repeat domain-containing protein YddK			yddLKJ	G6772		yddLKJ
purU	b1232	1287782	1288624	formyltetrahydrofolate deformylase		protein hexamerization // biosynthetic process // purine nucleotide biosynthetic process // 'de novo' IMP biosynthetic process // one-carbon metabolic process	ychJ-purU // purU	EG11819		ychJ-purU // purU
purB	b1131	1190616	1191986	adenylosuccinate lyase		purine ribonucleotide biosynthetic process // IMP biosynthetic process // 'de novo' AMP biosynthetic process // DNA damage response // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	hflD-purB	EG11314	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II // adenosine ribonucleotides <i>de novo</i> biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // inosine-5'-phosphate biosynthesis I	hflD-purB
nrfC	b4072	4289808	4290479	putative menaquinol-cytochrome <i>c</i> reductase 4Fe-4S subunit		anaerobic electron transport chain	nrfABCDEFG	EG11946	formate to nitrite electron transfer	nrfABCDEFG
folC	b2315	2431674	2432942	bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase		tetrahydrofolate biosynthetic process // biosynthetic process // folic acid-containing compound biosynthetic process // one-carbon metabolic process // tetrahydrofolylpolyglutamate biosynthetic process // dihydrofolate biosynthetic process // 10-formyltetrahydrofolate biosynthetic process // folic acid biosynthetic process	folC-dedD	EG10327	folate polyglutamylation // superpathway of chorismate metabolism // superpathway of tetrahydrofolate biosynthesis // tetrahydrofolate biosynthesis I	folC-dedD
yggM	b2956	3098558	3099565	DUF1202 domain-containing protein YggM			yggM	EG12704		yggM
purM	b2499	2621197	2622234	phosphoribosylformylglycinamide cyclo-ligase	Regulation of purM by DNA-binding transcriptional dual regulator Lrp // Regulation of purM by DNA-binding transcriptional dual regulator Lrp	adenine biosynthetic process // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	purMN	EG10798	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // 5-aminoimidazole ribonucleotide biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis II	purMN
grcA	b2579	2716066	2716449	stress-induced alternate pyruvate formate-lyase subunit	Regulation of grcA by DNA-binding transcriptional dual regulator FNR	response to stress	grcA // grcA	EG11784	superpathway of L-threonine metabolism // L-threonine degradation I // mixed acid fermentation // pyruvate fermentation to acetate IV // pyruvate fermentation to ethanol I	grcA // grcA
ymcE	b0991	1051847	1052077	protein YmcE			ymcE-gnsA	G6512		ymcE-gnsA
folM	b1606	1680976	1681698	dihydromonapterin reductase		pteridine-containing compound biosynthetic process // protein homotetramerization // one-carbon metabolic process // folic acid biosynthetic process // 10-formyltetrahydrofolate biosynthetic process	ydgI-folM	G6862	tetrahydromonapterin biosynthesis // superpathway of chorismate metabolism // superpathway of tetrahydrofolate biosynthesis // tetrahydrofolate biosynthesis I // folate transformations III (<i>E. coli</i>)	ydgI-folM
purD	b4005	4204642	4205931	phosphoribosylamine--glycine ligase		purine nucleobase biosynthetic process // DNA damage response // 'de novo' IMP biosynthetic process // purine nucleotide biosynthetic process	purHD	EG10792	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // superpathway of histidine, purine, and pyrimidine biosynthesis // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // 5-aminoimidazole ribonucleotide biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis II	purHD
narZ	b1468	1538850	1542590	nitrate reductase Z subunit &alpha;	Regulation of narZ by DNA-binding transcriptional activator YgfI	nitrate metabolic process // nitrate assimilation // anaerobic electron transport chain // anaerobic respiration	narUZYWV // narZYWV	EG10648	nitrate reduction III (dissimilatory) // nitrate reduction VIII (dissimilatory) // nitrate reduction IX (dissimilatory)	narUZYWV // narZYWV
ylaC	b0458	478781	479251	putative inner membrane protein			ylaC	G6253		ylaC
