,gene_name,cistron_name,monomer_name,max_mRNA_count,max_protein_count,prob_monomer_expressed,expression_status,log2_mRNA,log2_Protein,log2_mRNA_1,log2_Protein_1,mean_mRNA_count,mean_protein_count,log2_mean_mRNA_1,log2_mean_Protein_1,FrameID,Function,Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Regulated-By,GO terms (biological process),Transcription Units,gene ID,Pathways of gene,TU ID,GO biological process last,GO biological process first
10,EG11370,EG11370_RNA,4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i],3,197,0.9996685449121644,subgen,1.584962500721156,7.622051819456376,2.0,7.6293566200796095,0.1075480428753213,41.4176979202817,0.1473692809154395,5.40659442039715,EG11370,Met Orth,ubiA,b4040,4253016.0,4253888.0,4-hydroxybenzoate octaprenyltransferase,Regulation of ubiA by DNA-binding transcriptional dual regulator Lrp // Regulation of ubiA by DNA-binding transcriptional dual regulator Nac,ubiquinone biosynthetic process,ubiCA,EG11370,superpathway of chorismate metabolism // superpathway of ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinol-8 biosynthesis (early decarboxylation),ubiCA,ubiquinone biosynthetic process,ubiquinone biosynthetic process
11,EG10699,EG10699_RNA,6PFK-1-MONOMER[c],13,6458,1.0,always_expressed,3.700439718141092,12.65687172561398,3.807354922057604,12.65709510488839,2.63591739249428,2802.270466363639,1.8623194220862886,11.452895230479943,EG10699,Met Orth,pfkA,b3916,4107552.0,4108514.0,6-phosphofructokinase 1,Regulation of pfkA by FlhDC DNA-binding transcriptional dual regulator,"canonical glycolysis // fructose 1,6-bisphosphate metabolic process // carbohydrate phosphorylation // metabolic process // fructose 6-phosphate metabolic process // phosphorylation // glucose catabolic process // protein homotetramerization // glycolytic process",pfkA // pfkA // pfkA // pfkA,EG10699,"superpathway of hexitol degradation (bacteria) // superpathway of glycolysis and the Entner-Doudoroff pathway // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // glycolysis II (from fructose 6-phosphate) // glycolysis I (from glucose 6-phosphate) // sedoheptulose bisphosphate bypass",pfkA // pfkA // pfkA // pfkA,glycolytic process,canonical glycolysis
12,EG10700,EG10700_RNA,6PFK-2-MONOMER[c],3,1370,0.9923765329797812,subgen,1.584962500721156,10.419960177847889,2.0,10.421012855779226,0.1257163050930667,170.06574770824693,0.17084329562099923,7.418407109401374,EG10700,Met Orth,pfkB,b1723,1806370.0,1807299.0,6-phosphofructokinase 2,Regulation of pfkB by DNA-binding transcriptional dual regulator SutR // Regulation of pfkB by DNA-binding transcriptional dual regulator Nac // Regulation of pfkB by ArgR-L-arginine DNA-binding transcriptional dual regulator,glycolytic process through fructose-6-phosphate // carbohydrate metabolic process // DNA damage response // phosphorylation // glycolytic process,pfkB // pfkB,EG10700,"superpathway of glycolysis and the Entner-Doudoroff pathway // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // glycolysis II (from fructose 6-phosphate) // glycolysis I (from glucose 6-phosphate) // superpathway of hexitol degradation (bacteria) // galactitol degradation",pfkB // pfkB,glycolytic process,glycolytic process through fructose-6-phosphate
13,EG10411,EG10411_RNA,6PGLUCONDEHYDROG-MONOMER[c],12,7544,1.0,always_expressed,3.584962500721156,12.881113960675096,3.700439718141092,12.881305185414046,2.4292885901874315,2756.1916981967875,1.7779093187130324,11.428983861195327,EG10411,Met Orth,gnd,b2029,2099862.0,2101268.0,"6-phosphogluconate dehydrogenase, decarboxylating",,"organic acid catabolic process // pentose-phosphate shunt, oxidative branch // D-gluconate metabolic process // pentose-phosphate shunt // D-gluconate catabolic process",gnd,EG10411,pentose phosphate pathway // pentose phosphate pathway (oxidative branch) I,gnd,D-gluconate catabolic process,organic acid catabolic process
14,G6397,G6397_RNA,6PGLUCONOLACT-MONOMER[c],7,3145,1.0,always_expressed,2.807354922057604,11.618844301766652,3.0,11.619302955415687,0.8708577039300497,963.0306702725276,0.9036998324208377,9.912935235759221,G6397,Met Orth,pgl,b0767,798586.0,799581.0,6-phosphogluconolactonase,Regulation of pgl by DNA-binding transcriptional dual regulator Lrp,glucose metabolic process // carbohydrate metabolic process // pentose-phosphate shunt,pgl,G6397,pentose phosphate pathway // superpathway of glycolysis and the Entner-Doudoroff pathway // pentose phosphate pathway (oxidative branch) I,pgl,pentose-phosphate shunt,glucose metabolic process
15,EG10425,EG10425_RNA,7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c],7,2004,1.0,always_expressed,2.807354922057604,10.968666793195208,3.0,10.969386521342283,0.6721396466933579,504.0363894273227,0.7416953373584431,8.980243532005378,EG10425,Met,hdhA,b1619,1697273.0,1698040.0,7-&alpha;-hydroxysteroid dehydrogenase,,lipid catabolic process // steroid metabolic process // lipid metabolic process // bile acid catabolic process,hdhA,EG10425,,hdhA,bile acid catabolic process,lipid catabolic process
16,EG10121,EG10121_RNA,7KAPSYN-MONOMER[c],6,502,1.0,always_expressed,2.584962500721156,8.971543553950772,2.807354922057604,8.974414589805527,0.5896238393106542,129.95734757620133,0.6686854137076227,7.032953196499268,EG10121,Met Orth,bioF,b0776,810381.0,811535.0,8-amino-7-oxononanoate synthase,,biosynthetic process // biotin biosynthetic process,bioBFCD,EG10121,biotin biosynthesis I // 8-amino-7-oxononanoate biosynthesis I,bioBFCD,biotin biosynthetic process,biosynthetic process
17,EG11679,EG11679_RNA,AAS-MONOMER[i],3,379,0.996685449121644,subgen,1.584962500721156,8.566054038171092,2.0,8.569855608330949,0.1690557610538819,50.19677899007683,0.22534374447807043,5.677981141807577,EG11679,Met Orth,aas,b2836,2973855.0,2976014.0,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,,long-chain fatty acid metabolic process // phospholipid biosynthetic process // metabolic process // fatty acid metabolic process,aas-lplT,EG11679,,aas-lplT,fatty acid metabolic process,long-chain fatty acid metabolic process
18,EG11621,EG11621_RNA,ABC-MONOMER[m],8,1149,1.0,always_expressed,3.0,10.166163082646113,3.169925001442312,10.167418145831737,0.8957185340680486,445.37857658786254,0.922744776658005,8.802123978160193,EG11621,Met Orth,metN,b0199,221614.0,222645.0,L-methionine/D-methionine ABC transporter ATP binding subunit,,methionine import across plasma membrane // metabolic process // L-alpha-amino acid transmembrane transport // D-methionine transport // amino acid transport // methionine transport,metNIQ,EG11621,,metNIQ,methionine transport,methionine import across plasma membrane
19,EG12853,EG12853_RNA,ABGT-MONOMER[i],1,327,0.462048392442824,subgen,0.0,8.353146825498083,1.0,8.357552004618084,0.0169895858903062,8.230476013125559,0.024304905880431587,3.2064050491785028,EG12853,Met,abgT,b1336,1400247.0,1401773.0,<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter,,p-aminobenzoyl-glutamate transmembrane transport // amino acid transport // p-aminobenzoyl-glutamate transport,abgABT-ogt,EG12853,,abgABT-ogt,p-aminobenzoyl-glutamate transport,p-aminobenzoyl-glutamate transmembrane transport
20,EG10027,EG10027_RNA,ACETATEKINA-MONOMER[c],10,7067,1.0,always_expressed,3.321928094887362,12.786882193664699,3.4594316186372973,12.787086324551616,1.6632928732051817,2197.828907830474,1.4132110855098357,11.102519636273156,EG10027,Met Orth,ackA,b2296,2413470.0,2414672.0,acetate kinase,Regulation of ackA by small regulatory RNA SdhX,single-species biofilm formation on inanimate substrate // acetate metabolic process // organic acid metabolic process // propionate biosynthetic process // acetate biosynthetic process // acetyl-CoA biosynthetic process // phosphorylation,ackA-pta // ackA,EG10027,superpathway of acetate utilization and formation // pyruvate fermentation to acetate IV // mixed acid fermentation // acetate and ATP formation from acetyl-CoA I // ethanolamine utilization // superpathway of L-threonine metabolism // L-threonine degradation I,ackA-pta // ackA,phosphorylation,single-species biofilm formation on inanimate substrate
21,EG10499,EG10499_RNA,ACETOLACTSYNIII-HCHAIN-MONOMER[c],9,1578,1.0,always_expressed,3.169925001442312,10.623881490013458,3.321928094887362,10.624795455860237,0.8037711999503419,392.4146641160421,0.8510163509928363,8.619906923327129,EG10499,Met Orth,ilvH,b0078,87357.0,87848.0,"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit",,branched-chain amino acid biosynthetic process // amino acid biosynthetic process // isoleucine biosynthetic process // valine biosynthetic process,ilvIH // ilvIH // ilvIH // ilvIH,EG10499,L-valine biosynthesis // superpathway of L-threonine metabolism // superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine),ilvIH // ilvIH // ilvIH // ilvIH,valine biosynthetic process,branched-chain amino acid biosynthetic process
22,EG10500,EG10500_RNA,ACETOLACTSYNIII-ICHAIN-MONOMER[c],9,953,1.0,always_expressed,3.169925001442312,9.896332403909941,3.321928094887362,9.897845456005511,0.8037711999503419,235.9347284177381,0.8510163509928363,7.888345865111044,EG10500,Met Orth,ilvI,b0077,85630.0,87354.0,"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit",Regulation of ilvI by DNA-binding transcriptional dual regulator Lrp,branched-chain amino acid biosynthetic process // amino acid biosynthetic process // isoleucine biosynthetic process // valine biosynthetic process,ilvIH // ilvIH // ilvIH // ilvIH,EG10500,L-valine biosynthesis // superpathway of L-threonine metabolism // superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine),ilvIH // ilvIH // ilvIH // ilvIH,valine biosynthetic process,branched-chain amino acid biosynthetic process
23,EG11672,EG11672_RNA,ACETYL-COA-ACETYLTRANSFER-MONOMER[c],3,2385,0.9956910838581372,subgen,1.584962500721156,11.219773550892874,2.0,11.220378327695228,0.104512827892095,242.0531455351374,0.14341017435533426,7.925127995032996,EG11672,Met Orth,atoB,b2224,2326109.0,2327293.0,acetyl-CoA acetyltransferase,,small molecule metabolic process // fatty acid metabolic process // lipid metabolic process // acetoacetic acid catabolic process,atoDAEB,EG11672,acetoacetate degradation (to acetyl CoA) // oleate &beta;-oxidation,atoDAEB,acetoacetic acid catabolic process,small molecule metabolic process
24,EG10064,EG10064_RNA,ACETYLGLUTKIN-MONOMER[c],7,752,1.0,always_expressed,2.807354922057604,9.554588851677638,3.0,9.556506054671928,0.7483889307409508,285.1171474481058,0.8060261493905954,8.160462152996889,EG10064,Met Orth,argB,b3959,4156013.0,4156789.0,acetylglutamate kinase,,arginine biosynthetic process via ornithine // amino acid biosynthetic process // DNA damage response // phosphorylation // arginine biosynthetic process,argCBH,EG10064,superpathway of arginine and polyamine biosynthesis // L-arginine biosynthesis I (via L-ornithine) // L-ornithine biosynthesis I,argCBH,arginine biosynthetic process,arginine biosynthetic process via ornithine
25,EG11286,EG11286_RNA,ACETYLORNDEACET-MONOMER[c],9,1878,1.0,always_expressed,3.169925001442312,10.874981347653774,3.321928094887362,10.875749351420055,0.7523947373618529,564.1154538503426,0.8093277872048199,9.142401831960047,EG11286,Met Orth,argE,b3957,4153696.0,4154847.0,acetylornithine deacetylase,,organonitrogen compound metabolic process // amino acid biosynthetic process // arginine biosynthetic process,argE // argE,EG11286,superpathway of arginine and polyamine biosynthesis // L-arginine biosynthesis I (via L-ornithine) // L-ornithine biosynthesis I,argE // argE,arginine biosynthetic process,organonitrogen compound metabolic process
26,EG10066,EG10066_RNA,ACETYLORNTRANSAM-MONOMER[c],8,979,1.0,always_expressed,3.0,9.935165049603695,3.169925001442312,9.936637939002571,0.670225267547535,380.85211597441474,0.7400426957870168,8.576870207987332,EG10066,Met Orth,argD,b3359,3488960.0,3490180.0,<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase,,amino acid biosynthetic process // arginine metabolic process // amino acid metabolic process // lysine biosynthetic process // lysine biosynthetic process via diaminopimelate // arginine biosynthetic process // lysine biosynthetic process via diaminopimelate and N-succinyl-2-amino-6-ketopimelate // arginine biosynthetic process via ornithine,argD,EG10066,"superpathway of arginine and polyamine biosynthesis // L-arginine biosynthesis I (via L-ornithine) // L-ornithine biosynthesis I // aspartate superpathway // superpathway of L-lysine, L-threonine and L-methionine biosynthesis I // L-lysine biosynthesis I",argD,arginine biosynthetic process via ornithine,amino acid biosynthetic process
27,EG10637,EG10637_RNA,ACNEULY-MONOMER[c],3,1189,0.9887305270135897,subgen,1.584962500721156,10.215532999745657,2.0,10.216745858195306,0.0999991535538043,140.0347840010383,0.1375024136006633,7.13990721422082,EG10637,Met Orth,nanA,b3225,3372683.0,3373576.0,<i>N</i>-acetylneuraminate lyase,Regulation of nanA by DNA-binding transcriptional dual regulator Nac,single-species biofilm formation // carbohydrate metabolic process // N-acetylneuraminate catabolic process,nanA // nanATEK-yhcH,EG10637,"superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation // <i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I",nanA // nanATEK-yhcH,N-acetylneuraminate catabolic process,single-species biofilm formation
28,EG11325,EG11325_RNA,ACONITASE-MONOMER[c],6,1362,1.0,always_expressed,2.584962500721156,10.411510988012072,2.807354922057604,10.41256984680521,0.5445999554205003,296.8363643160856,0.6272332348525061,8.21837610022812,EG11325,Met Orth,acnA,b1276,1335831.0,1338506.0,aconitate hydratase 1,,citrate metabolic process // glyoxylate cycle // anaerobic respiration // response to oxidative stress // tricarboxylic acid cycle,acnA // acnA // acnA // acnA,EG11325,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // glyoxylate cycle // TCA cycle I (prokaryotic)",acnA // acnA // acnA // acnA,tricarboxylic acid cycle,citrate metabolic process
29,EG12316,EG12316_RNA,ACONITATEDEHYDRB-MONOMER[c],14,5054,1.0,always_expressed,3.807354922057604,12.303209948944776,3.9068905956085187,12.303495376790377,3.892265033589807,1731.4322130617934,2.2905025625505893,10.758583188082094,EG12316,Met Orth,acnB,b0118,131615.0,134212.0,AcnB,,"glyoxylate cycle // tricarboxylic acid cycle // regulation of translation // propionate catabolic process, 2-methylcitrate cycle",acnB // acnB,EG12316,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // superpathway of glyoxylate bypass and TCA // glyoxylate cycle // TCA cycle I (prokaryotic) // mixed acid fermentation // 2-methylcitrate cycle I",acnB // acnB,"propionate catabolic process, 2-methylcitrate cycle",glyoxylate cycle
30,G6343,G6343_RNA,ACPSUB-MONOMER[c],2,279,0.2419622141199867,subgen,1.0,8.124121311829187,1.584962500721156,8.129283016944967,0.0050300065176357,3.296315419710346,0.007238575640956722,2.103099914586662,G6343,Met Orth,citD,b0617,650487.0,650783.0,citrate lyase acyl carrier protein,,citrate metabolic process // acetyl-CoA metabolic process,citCDEFXG // citCDEFXG,G6343,citrate degradation // citrate lyase activation,citCDEFXG // citCDEFXG,acetyl-CoA metabolic process,citrate metabolic process
31,EG11704,EG11704_RNA,ACRB-MONOMER[m],8,798,1.0,always_expressed,3.0,9.640244936222345,3.169925001442312,9.642051692927977,1.0371300677439106,255.60148184513983,1.026538097190627,8.003385691630463,EG11704,Met Orth,acrB,b0462,481254.0,484403.0,multidrug efflux pump RND permease AcrB,,xenobiotic detoxification by transmembrane export across the cell outer membrane // transmembrane transport // xenobiotic transport // response to antibiotic // alkane transport // fatty acid transport // enterobactin transport // response to toxic substance // bile acid and bile salt transport // response to xenobiotic stimulus,acrB // acrAB,EG11704,,acrB // acrAB,response to xenobiotic stimulus,xenobiotic detoxification by transmembrane export across the cell outer membrane
32,EG10014,EG10014_RNA,ACRD-MONOMER[i],2,238,0.563473649320517,subgen,1.0,7.894817763307944,1.584962500721156,7.900866807980749,0.0262052688454191,7.960358808542335,0.03731933788971897,3.16355650470923,EG10014,Met Orth,acrD,b2470,2587595.0,2590708.0,multidrug efflux pump RND permease AcrD,,xenobiotic detoxification by transmembrane export across the cell outer membrane // transmembrane transport // xenobiotic transport // response to antibiotic // response to toxic substance // bile acid and bile salt transport,acrD // acrD,EG10014,,acrD // acrD,bile acid and bile salt transport,xenobiotic detoxification by transmembrane export across the cell outer membrane
33,EG10267,EG10267_RNA,ACRF-MONOMER[m],1,6,0.023864766324163,subgen,0.0,2.584962500721156,1.0,2.807354922057604,0.0010502986544326,0.0461813990627019,0.0015144654788224589,0.06513302447039362,EG10267,Met Orth,acrF,b3266,3415033.0,3418137.0,multidrug efflux pump RND permease AcrF,,xenobiotic detoxification by transmembrane export across the cell outer membrane // xenobiotic transport // transmembrane transport,acrEF,EG10267,,acrEF,transmembrane transport,xenobiotic detoxification by transmembrane export across the cell outer membrane
34,EG11448,EG11448_RNA,ACS-MONOMER[c],4,1458,0.9996685449121644,subgen,2.0,10.509775004326936,2.321928094887362,10.510764167917891,0.3402657276756869,221.6856849019392,0.42251906485738533,7.798865008857888,EG11448,Met Orth,acs,b4069,4285413.0,4287371.0,acetyl-CoA synthetase (AMP-forming),Regulation of acs by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of acs by small regulatory RNA GcvB // Regulation of acs by DNA-binding transcriptional dual regulator Rob,acetyl-CoA biosynthetic process // chemotaxis // post-translational protein acetylation // peptidyl-lysine acetylation // acetyl-CoA biosynthetic process from acetate // acetate catabolic process,acs-yjcHG // acs-yjcHG // acs-yjcHG,EG11448,superpathway of acetate utilization and formation // acetate conversion to acetyl-CoA // 2-methylcitrate cycle I,acs-yjcHG // acs-yjcHG // acs-yjcHG,acetate catabolic process,acetyl-CoA biosynthetic process
35,EG10192,EG10192_RNA,ACSERLYA-MONOMER[c],40,34649,1.0,always_expressed,5.321928094887363,15.0805260950906,5.357552004618084,15.080567731911938,14.840399042951502,16818.457336995623,3.9855367743728043,14.037843538777771,EG10192,Met Orth,cysK,b2414,2532409.0,2533380.0,cysteine synthase A,,cysteine biosynthetic process // metabolic process // amino acid biosynthetic process // cysteine biosynthetic process from serine,cysK // cysK,EG10192,superpathway of sulfate assimilation and cysteine biosynthesis // L-cysteine biosynthesis I // L-cysteine degradation II,cysK // cysK,cysteine biosynthetic process from serine,cysteine biosynthetic process
36,EG10193,EG10193_RNA,ACSERLYB-MONOMER[c],8,2276,1.0,always_expressed,3.0,11.152284842306582,3.169925001442312,11.152918576136623,1.210675520493873,739.3992855994109,1.1444872841645388,9.532159692948252,EG10193,Met Orth,cysM,b2421,2538672.0,2539583.0,cysteine synthase B,,cysteine biosynthetic process // amino acid biosynthetic process // L-cysteine catabolic process to pyruvate // iron-sulfur cluster assembly // cysteine biosynthetic process via S-sulfo-L-cysteine // cysteine biosynthetic process from serine,cysPUWAM,EG10193,superpathway of sulfate assimilation and cysteine biosynthesis // L-cysteine biosynthesis I // L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine) // L-cysteine degradation II,cysPUWAM,cysteine biosynthetic process from serine,cysteine biosynthetic process
37,G6105,G6105_RNA,ACYLCOADEHYDROG-MONOMER[c],3,167,0.9575737487570434,subgen,1.584962500721156,7.383704292474052,2.0,7.392317422778761,0.1106530896696884,19.82313224593212,0.1514082641006129,4.380115192140837,G6105,Met Orth,fadE,b0221,240859.0,243303.0,acyl-CoA dehydrogenase,Regulation of fadE by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of fadE by DNA-binding transcriptional dual regulator PdhR // Regulation of fadE by DNA-binding transcriptional dual regulator OmpR-phosphorylated // Regulation of fadE by DNA-binding transcriptional dual regulator ArcA-phosphorylated,fatty acid beta-oxidation // fatty acid metabolic process // lipid metabolic process // fatty acid catabolic process // fatty acid beta-oxidation using acyl-CoA dehydrogenase,fadE,G6105,fatty acid &beta;-oxidation I (generic) // oleate &beta;-oxidation,fadE,fatty acid beta-oxidation using acyl-CoA dehydrogenase,fatty acid beta-oxidation
