Uniprot Accession,Description,Gene,proteinMW,Peptides.used.for.quantitation,Confidence.score,medianRatio_MG1655.LB_vs_BW25113.Glucose,medianRatio_NCM3722.LB_vs_BW25113.Glucose,medianRatio_MG1655.Glucose_vs_BW25113.Glucose,medianRatio_NCM3722.Glucose_vs_BW25113.Glucose,medianRatio_BW25113.LB_vs_BW25113.Glucose,qvalue_MG1655.LB_vs_BW25113.Glucose,qvalue_NCM3722.LB_vs_BW25113.Glucose,qvalue_MG1655.Glucose_vs_BW25113.Glucose,qvalue_NCM3722.Glucose_vs_BW25113.Glucose,qvalue_BW25113.LB_vs_BW25113.Glucose,Copies/Cell_MG1655.LB,Copies/Cell_MG1655.Glucose,Copies/Cell_NCM3722.LB,Copies/Cell_NCM3722.Glucose,Copies/Cell_BW25113.LB,Copies/Cell_BW25113.Glucose,cv_MG1655.LB,cv_NCM3722.LB,cv_MG1655.Glucose,cv_NCM3722.Glucose,cv_BW25113.LB,cv_BW25113.Glucose,rawInt_A14.07016.1,rawInt_A14.07017.1,rawInt_A14.07018.1,rawInt_A14.07020.1,rawInt_A14.07021.1,rawInt_A14.07022.1,rawInt_A14.07024.1,rawInt_A14.07025.1,rawInt_A14.07026.1,rawInt_A14.07028.1,rawInt_A14.07029.1,rawInt_A14.07030.1,rawInt_A14.07032.1,rawInt_A14.07033.1,rawInt_A14.07034.1,rawInt_A14.07036.1,rawInt_A14.07037.1,rawInt_A14.07038.1,normInt_A14.07016.1,normInt_A14.07017.1,normInt_A14.07018.1,normInt_A14.07020.1,normInt_A14.07021.1,normInt_A14.07022.1,normInt_A14.07024.1,normInt_A14.07025.1,normInt_A14.07026.1,normInt_A14.07028.1,normInt_A14.07029.1,normInt_A14.07030.1,normInt_A14.07032.1,normInt_A14.07033.1,normInt_A14.07034.1,normInt_A14.07036.1,normInt_A14.07037.1,normInt_A14.07038.1,medianNormInt_MG1655.LB,medianNormInt_NCM3722.LB,medianNormInt_MG1655.Glu,medianNormInt_NCM3722.Glu,medianNormInt_BW25113.LB,medianNormInt_BW25113.Glu
P0CE47,Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1,tufA,43238.30279,53,4525.21,1.08,1.14,1.01,0.97,1.12,0.45,0.05,0.88,0.56,0.30,417978,279773,459427,317874,453979,261346,8.52,2.28,2.98,2.10,9.51,2.98,1661354309.00,1500001590.00,1133212877.00,1412988449.00,2006592601.00,1742200753.00,1353480412.00,874271359.60,1213102790.00,1312116414.00,1635441161.00,1296194731.00,1215211398.00,1526313994.00,1138795145.00,976055047.10,1281009026.00,1154474813.00,1661354309.00,1506833651.00,1403444474.00,1538958990.00,1604690134.00,1597432028.00,1413104219.00,1349155294.00,1427184442.00,1360369325.00,1405520540.00,1351772316.00,1415033594.00,1712778068.00,1573729328.00,1465736011.00,1387735806.00,1398909592.00,1506833651.00,1597432028.00,1413104219.00,1360369325.00,1573729328.00,1398909592.00
P0AFG8,Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2,aceE,99587.94042,52,3461.66,1.36,1.84,0.82,1.14,1.32,0.09,0.00,0.42,0.10,0.04,10369,4470,14607,7319,10463,5144,32.46,2.99,20.46,7.92,23.64,2.26,132555806.80,71968151.57,69774910.21,107802445.50,151373559.90,124356767.80,63513943.77,33823574.90,37737560.58,75488235.65,84258195.29,64033884.42,72007454.34,73406582.33,88637111.97,40951968.24,58755386.03,52972437.86,132555806.80,72295945.11,86413783.44,117413233.50,121054796.10,114023302.70,66311873.52,52195756.64,44397275.95,78264305.74,72412647.40,66779497.07,83847935.51,82374390.02,122489829.10,61497325.14,63650568.66,64188192.43,86413783.44,117413233.50,52195756.64,72412647.40,83847935.51,63650568.66
P0A6M8,Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2,fusA,77514.47523,49,4223.28,1.16,1.68,0.98,1.07,1.43,0.17,0.00,0.79,0.18,0.01,66828,40159,100428,51744,85688,38799,11.84,3.89,3.60,2.39,9.69,0.73,435996744.60,342458993.30,312086518.00,519355865.90,657885772.00,610978638.90,299115003.60,217467833.00,276601086.00,354894242.30,409135678.60,340659700.40,366201872.00,461650813.70,344839179.70,221873361.30,303960032.10,275441133.40,435996744.60,344018792.30,386508226.30,565657404.60,526117163.60,560209174.90,312291681.30,335591318.20,325414111.40,367945432.10,351616807.50,355266335.50,426417948.40,518048967.50,476541837.20,333185896.20,329284346.60,333759766.10,386508226.30,560209174.90,325414111.40,355266335.50,476541837.20,333185896.20
P00957,Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2,alaS,95954.64438,49,3866.42,1.19,1.55,1.11,1.65,1.07,0.18,0.00,0.39,0.00,0.58,3255,2167,4420,3817,3049,1848,6.46,4.72,4.06,0.48,7.57,2.74,27344265.66,24274527.76,22062478.48,30925550.85,44740965.82,40343722.26,24411689.47,16910459.95,20483861.47,36685693.79,44270717.74,36176060.92,19302421.29,21927446.58,18929488.76,15332013.22,22117156.45,18771817.19,27344265.66,24385091.02,27323607.17,33682621.07,35779752.41,36991347.85,25487078.40,26095829.76,24098739.73,38034805.43,38046861.35,37727199.84,22476397.62,24606240.75,26159131.22,23023992.31,23959838.92,22746338.72,27323607.17,35779752.41,25487078.40,38034805.43,24606240.75,23023992.31
P00864,Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1,ppc,98982.23464,46,3119.65,0.15,0.14,0.69,0.88,0.16,0.00,0.00,0.52,0.60,0.00,626,2042,617,3066,700,2776,7.91,8.30,30.65,10.19,19.14,7.05,4912903.76,5311291.83,4648590.80,4660791.05,7076302.74,5255721.37,37763465.80,15807433.49,20032116.65,34777124.19,34748518.29,29747239.03,4926691.59,3732509.33,4430618.75,23521370.20,32439868.33,25667868.26,4912903.76,5335483.18,5757116.96,5076309.22,5658982.89,4818995.53,39427030.02,24393664.90,23567273.49,36056048.43,29863352.69,31022726.17,5736807.70,4188496.04,6122782.23,35321900.58,35142583.62,31102477.70,5335483.18,5076309.22,24393664.90,31022726.17,5736807.70,35142583.62
P00961,Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4,glyS,76746.96578,46,3258.41,1.35,1.34,1.03,1.05,1.47,0.02,0.00,0.74,0.35,0.00,5562,3030,5701,3636,6294,2765,10.44,2.37,0.39,1.81,3.97,4.91,43037133.01,34908410.71,30630352.53,35562516.08,46265590.13,40895463.74,27731071.42,18738765.87,24758261.45,28386718.66,34250495.88,29117720.26,33259032.47,37167156.74,29868596.41,19681608.01,24740996.98,23109141.23,43037133.01,35067408.14,37934619.22,38732980.35,36999008.17,37497242.19,28952686.47,28917229.06,29127462.10,29430636.56,29435345.41,30366215.21,38727951.64,41707729.30,41276156.09,29555752.73,26802283.73,28001996.20,37934619.22,37497242.19,28952686.47,29435345.41,41276156.09,28001996.20
P07118,Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2,valS,108105.6884,46,2879.13,1.06,1.23,0.99,1.07,1.18,0.35,0.01,0.99,0.24,0.09,2381,1599,2864,2023,2768,1518,8.99,6.81,7.30,3.85,7.90,0.33,24504013.72,21392845.89,16729777.29,22090612.44,34267712.22,27191135.76,20947588.01,12253594.52,17190542.83,20910259.52,26360963.36,20124399.40,18810860.96,22869980.96,17385005.78,13589279.02,18786317.88,16732340.34,24504013.72,21490283.95,20719243.46,24060031.51,27404197.39,24931679.70,21870375.61,18909462.98,20224234.47,21679231.60,22654973.07,20987283.26,21904008.01,25663921.02,24024771.78,20406938.82,20351492.80,20275047.27,21490283.95,24931679.70,20224234.47,21679231.60,24024771.78,20351492.80
P63284,Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB PE=1 SV=1,clpB,95507.92428,45,3395.15,1.72,1.16,1.14,0.99,2.15,0.01,0.04,0.23,0.37,0.00,3400,1611,2383,1658,4427,1332,15.85,1.64,2.90,8.03,23.71,3.86,21497217.29,27948203.97,23578173.13,17032947.23,23733983.24,20889974.86,17846902.27,11845582.98,16445488.76,13641040.52,18904734.07,15696768.56,40672327.28,31323638.67,21743362.58,10876671.47,15060543.40,14393365.57,21497217.29,28075499.73,29200741.94,18551466.07,18980279.67,19154115.77,18633097.80,18279829.03,19347697.41,14142688.02,16246987.46,16369806.69,47360244.93,35150330.49,30047693.41,16333432.33,16315306.85,17440845.78,28075499.73,18980279.67,18633097.80,16246987.46,35150330.49,16333432.33
P0AG67,30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1,rpsA,61102.7043,43,3074.62,1.31,1.84,0.99,1.27,1.75,0.05,0.00,0.90,0.01,0.01,46364,24938,67350,37812,64478,23811,23.64,8.51,3.34,5.21,13.19,0.84,307765421.10,204477759.00,171513042.20,284097682.20,327676619.90,324570961.20,148574338.00,103730624.00,140947510.20,192932675.40,257201464.50,197189104.90,196042251.60,262063861.80,205547051.60,107298390.20,151187788.10,133668143.80,307765421.10,205409094.40,212412898.00,309425517.50,262045937.40,297600634.20,155119366.40,160074694.20,165821145.00,200027749.50,221042462.30,205644080.10,228278283.40,294079223.90,284050581.70,161129349.10,163783941.20,161969448.30,212412898.00,297600634.20,160074694.20,205644080.10,284050581.70,161969448.30
P0A853,Tryptophanase OS=Escherichia coli (strain K12) GN=tnaA PE=1 SV=1,tnaA,52721.57894,43,2756.84,124.44,0.94,1.02,1.13,31.35,0.01,0.14,0.82,0.08,0.00,138625,808,1091,1058,36322,750,77.05,8.11,10.65,3.68,83.58,4.39,45329719.34,596561001.10,472672862.40,3535600.32,5568891.71,4844228.67,4580357.06,3554105.79,3793474.51,5403210.43,6173895.11,5010802.07,439081916.90,109100626.70,106727493.20,3310450.47,4342266.90,3763843.92,45329719.34,599278159.20,585388791.50,3850805.64,4453492.75,4441695.95,4782131.92,5484613.66,4462925.85,5601912.79,5305930.04,5225652.71,511281958.00,122429042.40,147489376.70,4971283.63,4704041.21,4560755.51,585388791.50,4441695.95,4782131.92,5305930.04,147489376.70,4704041.21
P05793,Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4,ilvC,54016.26705,42,2087.99,0.02,0.04,1.04,0.46,0.04,0.00,0.00,0.50,0.00,0.00,1148,34730,1727,18154,2085,31560,15.07,5.22,10.09,3.57,10.26,3.01,5422770.03,4462198.69,4909586.42,7224701.87,10239332.34,8047083.23,220210262.10,175206422.60,192443605.30,104016533.00,117628123.60,97641227.41,7604386.27,8442392.25,7819128.93,147441113.60,211567345.00,178162816.00,5422770.03,4482522.68,6080350.90,7868797.44,8188486.08,7378408.30,229911011.40,270374489.50,226404985.40,107841727.50,101091221.00,101827838.80,8854806.70,9473767.74,10805448.70,221411436.20,229193997.80,215884893.70,5422770.03,7868797.44,229911011.40,101827838.80,9473767.74,221411436.20
P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3,aceF,66036.77654,42,2645.87,1.61,1.69,0.97,1.02,1.55,0.02,0.00,0.50,0.80,0.01,20444,8787,22229,10910,20473,8545,28.92,4.36,2.81,4.10,14.11,2.62,169530372.80,99623169.32,91399136.71,116293218.70,148436092.30,127280964.10,65298565.82,44170032.53,55168194.77,69257083.09,77696481.31,68757792.75,76985083.54,97130756.57,86147967.37,46563977.11,64841066.06,60494459.36,169530372.80,100076923.30,113194630.90,126660974.80,118705676.80,116704511.90,68175112.12,68162170.19,64903971.79,71804003.35,66773420.51,71705954.76,89644056.70,108996857.90,119050018.30,69924845.22,70243274.81,73302837.38,113194630.90,118705676.80,68162170.19,71705954.76,108996857.90,70243274.81
P00956,Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5,ileS,104212.5396,42,2255.95,0.89,0.95,1.03,0.99,0.81,0.21,0.27,0.69,0.73,0.05,2408,1980,2664,2240,2270,1816,7.92,1.41,4.38,3.73,7.01,1.09,21610632.98,18354554.53,16321490.52,19875485.07,26970731.83,23000149.47,21438156.07,15086288.17,20758983.72,20443698.32,26530701.36,21400492.98,15733471.52,17800738.56,12596674.61,15120079.95,20538419.42,18682627.10,21610632.98,18438154.07,20213594.59,21647421.43,21568736.61,21088944.75,22382554.28,23280810.15,24422414.03,21195512.68,22800848.23,22318092.54,18320590.80,19975388.23,17407657.87,22705733.40,22249570.02,22638264.58,20213594.59,21568736.61,23280810.15,22318092.54,18320590.80,22638264.58
P10408,Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2,secA,101940.9335,41,2636.44,1.60,2.06,0.98,1.63,1.75,0.01,0.00,0.97,0.00,0.02,1250,547,1665,1072,1419,525,13.72,4.93,16.05,9.10,22.35,3.34,11631902.96,8803001.05,8702856.43,12551990.94,18706451.41,15104770.63,7581400.41,4285039.62,4896067.36,11362899.52,12768732.22,9410897.21,10107995.29,8020340.07,10281500.07,4472184.99,6479063.26,5427038.04,11631902.96,8843096.11,10778182.99,13671024.21,14959717.29,13849634.92,7915377.88,6612573.79,5760098.17,11780768.68,10973623.40,9814412.93,11770094.43,9000155.03,14208260.60,6715853.38,7018863.96,6576094.59,10778182.99,13849634.92,6612573.79,10973623.40,11770094.43,6715853.38
P0ABB4,ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2,atpD,50275.81931,40,3033.57,1.07,1.31,0.89,1.06,1.11,0.37,0.00,0.21,0.33,0.21,36068,21539,45797,30160,39075,22718,7.32,3.68,3.63,6.69,4.33,1.82,148933692.20,137123274.30,103920582.40,160202067.50,202688085.70,183977469.20,111389412.70,70436633.78,97964125.89,131884521.20,169634126.10,122252539.90,114992744.60,129403649.70,103837238.80,83250315.54,119285183.80,106312959.40,148933692.20,137747830.00,128702003.00,174484379.00,162091483.50,168689803.00,116296362.80,108696180.30,115252291.50,136734557.30,145785892.00,127494422.80,133901473.50,145212409.80,143495262.20,125016499.70,129223383.50,128822402.20,137747830.00,168689803.00,115252291.50,136734557.30,143495262.20,128822402.20
P07813,Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2,leuS,97153.28428,40,2260.65,0.83,1.03,0.94,1.00,1.05,0.41,0.49,0.66,0.87,0.90,1780,1429,2283,1799,2321,1438,17.13,3.53,8.80,4.87,10.74,1.73,18244584.66,13542366.69,11186688.01,15736222.65,21070229.90,19657828.51,14930284.31,11376645.72,12605157.44,16036692.59,18381386.32,16700200.66,12525179.22,15961122.82,12573158.53,11066723.43,15785180.91,13683465.90,18244584.66,13604048.15,13854321.45,17139136.09,16850052.19,18024355.01,15587996.37,17556175.92,14829645.71,16626439.88,15797215.24,17416263.46,14584745.83,17911033.51,17375160.42,16618832.22,17100317.25,16580640.39,13854321.45,17139136.09,15587996.37,16626439.88,17375160.42,16618832.22
P0AFG3,2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1,sucA,104977.5259,40,3008.85,1.76,2.83,0.99,2.34,2.19,0.08,0.00,0.98,0.00,0.00,3355,1356,5611,3758,4341,1287,34.97,4.22,13.68,7.71,15.98,3.89,17232471.70,26544201.97,28919848.80,38168422.50,53775901.67,49294442.35,17130066.44,8881545.86,12830627.86,38943271.65,41186510.28,33992559.61,33339300.24,25093027.91,24002857.12,10108894.45,14859115.47,12353468.23,17232471.70,26665102.93,35816220.23,41571208.16,43005071.79,45198305.01,17884683.77,13705795.67,15094905.90,40375405.42,35396251.20,35450075.46,38821418.17,28158549.31,33170145.10,15180466.19,16097097.02,14969044.81,26665102.93,43005071.79,15094905.90,35450075.46,33170145.10,15180466.19
P00561,Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2,thrA,89045.79557,39,2674.42,0.19,0.17,0.87,1.27,0.20,0.00,0.00,0.82,0.10,0.00,1360,4375,1260,7548,1498,4734,16.01,12.68,25.35,15.09,9.67,5.26,12237181.27,8990556.35,7973173.95,6488020.79,11031114.22,9750788.81,61938353.25,28831391.66,35015772.35,71740185.43,75676402.90,52590846.82,7597702.29,9416285.55,7566414.68,33324551.81,50958629.48,42101618.32,12237181.27,9031505.67,9874496.80,7066439.87,8821681.17,8940543.91,64666874.75,44491935.20,41195161.64,74378421.45,65037337.45,54845810.67,8847023.65,10566637.95,10456216.59,50043279.63,55204228.31,51015714.73,9874496.80,8821681.17,44491935.20,65037337.45,10456216.59,51015714.73
P0A850,Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1,tig,48144.85133,38,2556.48,1.42,1.45,0.97,1.01,1.45,0.01,0.00,0.71,0.87,0.01,51695,25147,54659,30831,54602,24442,8.72,3.33,6.84,3.88,8.82,3.55,234716362.50,204292815.80,161731590.30,199684202.00,261696609.70,222022418.80,125990470.60,90635893.63,128113288.20,140140435.50,166892294.50,147824478.00,158118732.60,195382939.30,150828657.10,101291767.40,131457011.00,118893882.40,234716362.50,205223308.90,200298912.30,217486419.00,209281130.30,203573395.40,131540629.60,139867209.80,150722010.70,145294081.90,143429524.30,154162821.60,184118844.60,219252142.40,208433871.70,152109239.80,142409301.90,144067060.30,205223308.90,209281130.30,139867209.80,145294081.90,208433871.70,144067060.30
