# Generated by Mia G and Nora V on Nov 8 2024 based on Gupta et al 2024 carbon limited growth conditions 
# Table S1 https://doi.org/10.1038/s41467-024-49920-8
# The following uniprot ids were manually identified as they resulted in no ecocyc monomer if found through API
# {'P06710':'EG10245-MONOMER', 'P32132':'EG11837-MONOMER', 'P75960':'G6577-MONOMER'}
monomer_id	uniprot_id	half_life (units.min)	notes	assignment
EG12865-MONOMER	P0ACW6	116.36105927999999	consistent	C-lim6_1
G6782-MONOMER	P77790	137.92641732	consistent	C-lim6_1
EG11696-MONOMER	P0ADM0	346.77304614	consistent	C-lim6_1
G7424-MONOMER	P0A6S5	304.86981972	consistent	C-lim6_2
EG10439-MONOMER	P0ACE3	119.65029528	consistent	C-lim6_2
MONOMER0-2693	P0ADN6	365.45931936	consistent	C-lim6_2
MONOMER0-2688	P0ADW8	302.34144558	consistent	C-lim6_2
EG10724-MONOMER	P16691	163.7310978	consistent	C-lim6_2
EG11239-MONOMER	P21829	272.36991822000005	consistent	C-lim6_2
ACRB-MONOMER	P31224	460.02519912	consistent	C-lim6_2
EG10310-MONOMER	P31697	360.69460499999997	consistent	C-lim6_2
EG12271-MONOMER	P37665	331.89189906	consistent	C-lim6_2
EG12860-MONOMER	P46118	344.54160360000003	consistent	C-lim6_2
G6424-MONOMER	P75791	304.80134358	consistent	C-lim6_2
G6434-MONOMER	P75801	407.55053849999996	consistent	C-lim6_2
G6110-MONOMER	Q47150	61.11092837999999	consistent	C-lim6_2
G6401-MONOMER	P75764	144.27737159999998	consistent	C-lim6_2
EG11962-MONOMER	P0ACL7	194.68713545999998	consistent	C-lim6_2
EG10143-MONOMER	P17410	121.87196238000001	consistent	C-lim6_2
GLUTDECARBOXA-MONOMER	P69908	418.74417318	consistent	C-lim6_2
G7394-MONOMER	P76621	80.56059456	consistent	C-lim6_2
YDDP-MONOMER	P77268	227.430783	consistent	C-lim6_2
G6673-MONOMER	P77302	115.05367014000001	consistent	C-lim6_2
G6798-MONOMER	P77432	187.76404926	consistent	C-lim6_2
G6281-MONOMER	P77671	184.13812236	consistent	C-lim6_2
EG11847-MONOMER	P0A9V8	364.26858378000003	consistent	C-lim6_2
MONOMER0-2660	P0AAS9	108.71196666	consistent	C-lim6_2
G7743-MONOMER	P0ACG8	404.37955944	consistent	C-lim6_2
G6185-MONOMER	P77187	316.631604	consistent	C-lim6_2
EG11099-MONOMER	P0AAQ6	188.27162076000002	consistent	C-lim6_2
G7816-MONOMER	P0AE85	143.55404069999997	consistent	C-lim6_2
6PGLUCONDEHYDROG-MONOMER	P00350	612.0626814	consistent	C-lim12_1
FUM-FLAVO	P00363	811.1258981999999	consistent	C-lim12_1
GDHA-MONOMER	P00370	459.19958142	consistent	C-lim12_1
NADH-DHII-MONOMER	P00393	710.9683709999999	consistent	C-lim12_1
SUPEROX-DISMUTMN-MONOMER	P00448	746.8587564	consistent	C-lim12_1
NRDA-MONOMER	P00452	625.1889312000001	consistent	C-lim12_1
HOMOSERKIN-MONOMER	P00547	518.8623430199999	consistent	C-lim12_1
RPOD-MONOMER	P00579	503.91076482	consistent	C-lim12_1
EG10746-MONOMER	P00582	756.5885675999999	consistent	C-lim12_1
EG10040-MONOMER	P00811	629.5421868000001	consistent	C-lim12_1
DIAMINOPIMDECARB-MONOMER	P00861	521.83067544	consistent	C-lim12_1
PEPCARBOX-MONOMER	P00864	662.689659	consistent	C-lim12_1
ANTHRANSYNCOMPI-MONOMER	P00895	583.3494996	consistent	C-lim12_1
ANTHRANSYNCOMPII-MONOMER	P00904	709.4265342	consistent	C-lim12_1
PRAI-IGPS	P00909	463.24693314	consistent	C-lim12_1
EG10736-MONOMER	P00914	692.4613746	consistent	C-lim12_1
DSERDEAM-MONOMER	P00926	682.7592984	consistent	C-lim12_1
O-SUCCHOMOSERLYASE-MONOMER	P00935	619.346289	consistent	C-lim12_1
XYLISOM-MONOMER	P00944	552.4522573200001	consistent	C-lim12_1
ILES-MONOMER	P00956	707.2981548	consistent	C-lim12_1
ALAS-MONOMER	P00957	670.2722514	consistent	C-lim12_1
METG-MONOMER	P00959	589.05631038	consistent	C-lim12_1
GLYS-MONOMER	P00961	705.239019	consistent	C-lim12_1
CARBPSYN-LARGE	P00968	642.7681296000001	consistent	C-lim12_1
EG10905-MONOMER	P02358	762.5925906	consistent	C-lim12_1
EG10906-MONOMER	P02359	727.4180052	consistent	C-lim12_1
EG10748-MONOMER	P02918	650.4108198	consistent	C-lim12_1
EG10605-MONOMER	P02919	797.7486918	consistent	C-lim12_1
ARAF-MONOMER	P02924	818.4526662	consistent	C-lim12_1
RBSB-MONOMER	P02925	578.72605416	consistent	C-lim12_1
EG11012-MONOMER	P02929	353.0058864	consistent	C-lim12_1
EG10671-MONOMER	P02931	669.5624004	consistent	C-lim12_1
EG10243-MONOMER	P03007	204.40069986	consistent	C-lim12_1
EG11064-MONOMER	P03018	528.23064426	consistent	C-lim12_1
PD03028	P03024	429.0174528	consistent	C-lim12_1
EG11157-MONOMER	P03813	426.4525491	consistent	C-lim12_1
EG11199-MONOMER	P03817	640.6884474000001	consistent	C-lim12_1
KEFC-MONOMER	P03819	795.689259	consistent	C-lim12_1
EG10559-MONOMER	P03841	697.7615676	consistent	C-lim12_1
DIHYDROPICRED-MONOMER	P04036	747.5527272	consistent	C-lim12_1
GMP-SYN-MONOMER	P04079	588.70674918	consistent	C-lim12_1
EG11091-MONOMER	P04335	323.64613476	consistent	C-lim12_1
CHAINI-MONOMER	P04391	524.16493728	consistent	C-lim12_1
TYRB-MONOMER	P04693	485.29881420000004	consistent	C-lim12_1
LIVK-MONOMER	P04816	724.5150246000001	consistent	C-lim12_1
EG10696-MONOMER	P04825	651.9575405999999	consistent	C-lim12_1
EG10657-MONOMER	P04846	700.7697629999999	consistent	C-lim12_1
EG10321-MONOMER	P04949	82.31686914000001	consistent	C-lim12_1
CPM-KDOSYNTH-MONOMER	P04951	666.1090182	consistent	C-lim12_1
THREDEHYDSYN-MONOMER	P04968	531.28418562	consistent	C-lim12_1
EG10817-MONOMER	P04982	655.5780576000001	consistent	C-lim12_1
EG10826-MONOMER	P04993	430.81329816	consistent	C-lim12_1
EG10926-MONOMER	P04995	659.9270784	consistent	C-lim12_1
PABASYN-COMPI-MONOMER	P05041	687.2052851999999	consistent	C-lim12_1
FUMC-MONOMER	P05042	602.443221	consistent	C-lim12_1
EG10743-MONOMER	P05055	694.2628506	consistent	C-lim12_1
AROD-MONOMER	P05194	602.4121944	consistent	C-lim12_1
EG10786-MONOMER	P05458	708.5300609999999	consistent	C-lim12_1
EG10460-MONOMER	P05719	681.6541656	consistent	C-lim12_1
DIHYDROXYACIDDEHYDRAT-MONOMER	P05791	644.5855368	consistent	C-lim12_1
KETOLREDUCTOISOM-MONOMER	P05793	631.9485078	consistent	C-lim12_1
EG10293-MONOMER	P05825	959.3672574	consistent	C-lim12_1
EG11171-MONOMER	P05852	535.41446016	consistent	C-lim12_1
DLACTDEHYDROGFAD-MONOMER	P06149	610.8000264	consistent	C-lim12_1
CDPDIGLYPYPHOSPHA-MONOMER	P06282	783.4208148	consistent	C-lim12_1
BIOTINLIG-MONOMER	P06709	470.80754243999996	consistent	C-lim12_1
EG10245-MONOMER	P06710	418.04867124000003	consistent	C-lim12_1
GLUTATHIONE-REDUCT-NADPH-MONOMER	P06715	717.2990916	consistent	C-lim12_1
ALPHAGALACTOSID-MONOMER	P06720	534.14120736	consistent	C-lim12_1
CYSTATHIONINE-BETA-LYASE-MONOMER	P06721	587.20243326	consistent	C-lim12_1
EG10624-MONOMER	P06722	543.2189415	consistent	C-lim12_1
E2P-MONOMER	P06959	663.5129598	consistent	C-lim12_1
EG10136-MONOMER	P06961	531.2000859	consistent	C-lim12_1
EG10302-MONOMER	P06971	906.670356	consistent	C-lim12_1
HISTPHOSTRANS-MONOMER	P06986	646.467288	consistent	C-lim12_1
HISTDEHYD-MONOMER	P06988	691.6866306	consistent	C-lim12_1
PD00237	P06993	90.17622816	consistent	C-lim12_1
EG10670-MONOMER	P06996	782.4824292000001	consistent	C-lim12_1
6PFK-2-MONOMER	P06999	688.1202023999999	consistent	C-lim12_1
EG10762-MONOMER	P07012	518.1609001200001	consistent	C-lim12_1
TAR-MONOMER	P07017	359.92212576	consistent	C-lim12_1
TAP-MONOMER	P07018	278.10747036000004	consistent	C-lim12_1
CHORISMUTPREPHENDEHYDROG-MONOMER	P07023	476.79860232	consistent	C-lim12_1
HISP-MONOMER	P07109	707.9632104	consistent	C-lim12_1
VALS-MONOMER	P07118	641.5997712000001	consistent	C-lim12_1
PHET-MONOMER	P07395	775.7866434	consistent	C-lim12_1
PD00413	P07604	516.48902256	consistent	C-lim12_1
HOMSUCTRAN-MONOMER	P07623	317.24108106	consistent	C-lim12_1
AROB-MONOMER	P07639	545.92776882	consistent	C-lim12_1
PSTA-MONOMER	P07654	780.5048814	consistent	C-lim12_1
LEUS-MONOMER	P07813	676.5733158	consistent	C-lim12_1
LARGEILVB-MONOMER	P08142	342.91565844	consistent	C-lim12_1
FOLC-MONOMER	P08192	618.2358522000001	consistent	C-lim12_1
ISOCITDEH-SUBUNIT	P08200	631.4550924	consistent	C-lim12_1
ARABISOM-MONOMER	P08202	630.3134304	consistent	C-lim12_1
OROTPDECARB-MONOMER	P08244	589.5724686	consistent	C-lim12_1
EG11128-MONOMER	P08245	339.03986105999996	consistent	C-lim12_1
CPDB-MONOMER	P08331	866.1631758000001	consistent	C-lim12_1
UDPNACETYLMURAMATEDEHYDROG-MONOMER	P08373	603.6915822	consistent	C-lim12_1
EG10203-MONOMER	P08506	764.7408066	consistent	C-lim12_1
EG10240-MONOMER	P08622	588.40572972	consistent	C-lim12_1
PTSI-MONOMER	P08839	653.7291984	consistent	C-lim12_1
EG10459-MONOMER	P08956	447.97305192	consistent	C-lim12_1
EG10458-MONOMER	P08957	617.9662812	consistent	C-lim12_1
MALATE-SYNTHASE	P08997	264.32728092	consistent	C-lim12_1
VALINE-PYRUVATE-AMINOTRANSFER-MONOMER	P09053	442.27160268	consistent	C-lim12_1
HEMX-MONOMER	P09127	744.8126178	consistent	C-lim12_1
2-ISOPROPYLMALATESYN-MONOMER	P09151	276.9243318	consistent	C-lim12_1
SPERMIDINESYN-MONOMER	P09158	580.93682358	consistent	C-lim12_1
NAGE-MONOMER	P09323	777.8133449999999	consistent	C-lim12_1
PYRUVFORMLY-MONOMER	P09373	263.52008562000003	consistent	C-lim12_1
GLYCPDIESTER-PERI-MONOMER	P09394	692.2263282	consistent	C-lim12_1
MANNPDEHYDROG-MONOMER	P09424	701.1480942000001	consistent	C-lim12_1
ARGT-MONOMER	P09551	699.641652	consistent	C-lim12_1
GLUSYNSMALL-MONOMER	P09832	481.71494681999997	consistent	C-lim12_1
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	P0A6A0	796.0388292	consistent	C-lim12_1
LEUC-MONOMER	P0A6A6	246.70056594000002	consistent	C-lim12_1
ALARACEBIOSYN-MONOMER	P0A6B4	743.6181516	consistent	C-lim12_1
G7325-MONOMER	P0A6B7	244.4002959	consistent	C-lim12_1
EG10651-MONOMER	P0A6C1	264.2291121	consistent	C-lim12_1
N-ACETYLTRANSFER-MONOMER	P0A6C5	323.23374432	consistent	C-lim12_1
PD00194	P0A6D0	716.2378554	consistent	C-lim12_1
AROA-MONOMER	P0A6D3	705.1608444000001	consistent	C-lim12_1
ARGSUCCINSYN-MONOMER	P0A6E4	624.1281654000001	consistent	C-lim12_1
G6851-MONOMER	P0A6E9	309.28499028	consistent	C-lim12_1
GLYCEROL-KIN-MONOMER	P0A6F3	641.7606582	consistent	C-lim12_1
EG10600-MONOMER	P0A6F9	690.3362922	consistent	C-lim12_1
G7409-MONOMER	P0A6G3	739.9933044	consistent	C-lim12_1
EG10158-MONOMER	P0A6G7	677.3576502	consistent	C-lim12_1
EG10159-MONOMER	P0A6H1	149.98355334000001	consistent	C-lim12_1
EG11881-MONOMER	P0A6H5	637.5912858	consistent	C-lim12_1
CARDIOLIPSYN-MONOMER	P0A6H8	842.6099178000001	consistent	C-lim12_1
CMPKI-MONOMER	P0A6I0	599.91542184	consistent	C-lim12_1
PANTOTHENATE-KIN-MONOMER	P0A6I3	536.68671624	consistent	C-lim12_1
EG12312-MONOMER	P0A6I9	604.396023	consistent	C-lim12_1
DALADEHYDROGA-MONOMER	P0A6J5	185.76652032	consistent	C-lim12_1
DALADALALIGA-MONOMER	P0A6J8	656.3728518	consistent	C-lim12_1
PPENTOMUT-MONOMER	P0A6K6	553.12866678	consistent	C-lim12_1
ACNEULY-MONOMER	P0A6L4	409.93416516	consistent	C-lim12_1
ALTRO-OXIDOREDUCT-MONOMER	P0A6L7	542.4683844	consistent	C-lim12_1
EG11852-MONOMER	P0A6M4	637.2751152000001	consistent	C-lim12_1
EG10360-MONOMER	P0A6M8	697.7783022	consistent	C-lim12_1
EG12099-MONOMER	P0A6N4	521.71402218	consistent	C-lim12_1
EG12035-MONOMER	P0A6N8	708.0362874	consistent	C-lim12_1
FABA-MONOMER	P0A6Q3	756.604455	consistent	C-lim12_1
FABZ-MONOMER	P0A6Q6	680.1521022	consistent	C-lim12_1
FABH-MONOMER	P0A6R0	626.5827852	consistent	C-lim12_1
FLGH-FLAGELLAR-L-RING	P0A6S0	498.68346563999995	consistent	C-lim12_1
PGLUCISOM	P0A6T1	712.9458258	consistent	C-lim12_1
GTP-CYCLOHYDRO-I-MONOMER	P0A6T5	326.32595957999996	consistent	C-lim12_1
EG10375-MONOMER	P0A6U3	243.63967097999998	consistent	C-lim12_1
G6810-MONOMER	P0A6W0	793.5357564	consistent	C-lim12_1
EG10415-MONOMER	P0A6W5	392.03137656	consistent	C-lim12_1
GLUTCYSLIG-MONOMER	P0A6W9	573.30864072	consistent	C-lim12_1
GLUTRNAREDUCT-MONOMER	P0A6X1	194.036511	consistent	C-lim12_1
G7744-MONOMER	P0A6Y5	461.99928786	consistent	C-lim12_1
EG10241-MONOMER	P0A6Y8	626.943123	consistent	C-lim12_1
EG10461-MONOMER	P0A6Z3	635.2563485999999	consistent	C-lim12_1
EG10506-MONOMER	P0A707	659.5110012	consistent	C-lim12_1
KDO-8PSYNTH-MONOMER	P0A715	666.2608542	consistent	C-lim12_1
PRPPSYN-MONOMER	P0A717	843.9003018	consistent	C-lim12_1
DTMPKI-MONOMER	P0A720	596.09608014	consistent	C-lim12_1
UDPNACETYLGLUCOSAMACYLTRANS-MONOMER	P0A722	656.4551112	consistent	C-lim12_1
UDPACYLGLCNACDEACETYL-MONOMER	P0A725	80.10416268	consistent	C-lim12_1
EG11438-MONOMER	P0A729	529.78551948	consistent	C-lim12_1
EG10598-MONOMER	P0A734	384.5828565	consistent	C-lim12_1
EG11666-MONOMER	P0A738	517.80621594	consistent	C-lim12_1
EG11180-MONOMER	P0A742	823.9832682	consistent	C-lim12_1
EG12394-MONOMER	P0A746	359.91911106	consistent	C-lim12_1
NICONUCADENYLYLTRAN-MONOMER	P0A752	762.9456138	consistent	C-lim12_1
EG11568-MONOMER	P0A754	661.9849788	consistent	C-lim12_1
GLUCOSAMINE-6-P-DEAMIN-MONOMER	P0A759	718.2770118	consistent	C-lim12_1
NANE-MONOMER	P0A761	678.7715826	consistent	C-lim12_1
EG10666-MONOMER	P0A780	651.1607088	consistent	C-lim12_1
G7842-MONOMER	P0A784	861.7346982	consistent	C-lim12_1
ASPCARBCAT-MONOMER	P0A786	702.075417	consistent	C-lim12_1
PDXJ-MONOMER	P0A794	726.8190215999999	consistent	C-lim12_1
6PFK-1-MONOMER	P0A796	648.0320868	consistent	C-lim12_1
PGK	P0A799	811.599234	consistent	C-lim12_1
PGAM2-MONOMER	P0A7A2	430.31868485999996	consistent	C-lim12_1
EG10689-MONOMER	P0A7A5	560.2481007599999	consistent	C-lim12_1
INORGPYROPHOSPHAT-MONOMER	P0A7A9	664.746876	consistent	C-lim12_1
GLUTKIN-MONOMER	P0A7B5	549.57462684	consistent	C-lim12_1
PD00205	P0A7C2	286.28159526	consistent	C-lim12_1
EG10785-MONOMER	P0A7D1	667.7221158	consistent	C-lim12_1
ADENYLOSUCCINATE-SYN-MONOMER	P0A7D4	687.3168324000001	consistent	C-lim12_1
SAICARSYN-MONOMER	P0A7D7	676.510536	consistent	C-lim12_1
DIHYDROOROTOX-MONOMER	P0A7E1	805.5375552	consistent	C-lim12_1
CTPSYN-MONOMER	P0A7E5	787.3823028	consistent	C-lim12_1
SPED-MONOMER	P0A7F6	565.82875356	consistent	C-lim12_1
EG10812-MONOMER	P0A7F9	455.02307406	consistent	C-lim12_1
EG11178-MONOMER	P0A7G2	659.2290222	consistent	C-lim12_1
EG10828-MONOMER	P0A7H0	605.7938328	consistent	C-lim12_1
GTP-CYCLOHYDRO-II-MONOMER	P0A7I7	558.7200861	consistent	C-lim12_1
DIOHBUTANONEPSYN-MONOMER	P0A7J0	86.54861376000001	consistent	C-lim12_1
EG10871-MONOMER	P0A7J3	776.3227085999999	consistent	C-lim12_1
EG10873-MONOMER	P0A7K2	777.1648548000001	consistent	C-lim12_1
EG10864-MONOMER	P0A7L0	642.1076628000001	consistent	C-lim12_1
EG10886-MONOMER	P0A7M2	522.79965522	consistent	C-lim12_1
EG10870-MONOMER	P0A7R1	554.68267524	consistent	C-lim12_1
EG10909-MONOMER	P0A7R5	656.9491866	consistent	C-lim12_1
EG10912-MONOMER	P0A7S9	541.3464048599999	consistent	C-lim12_1
EG10917-MONOMER	P0A7T7	586.60168854	consistent	C-lim12_1
EG10902-MONOMER	P0A7V3	756.8068614	consistent	C-lim12_1
EG10904-MONOMER	P0A7W1	727.4017788	consistent	C-lim12_1
EG10907-MONOMER	P0A7W7	665.0301635999999	consistent	C-lim12_1
EG10908-MONOMER	P0A7X3	779.9957784	consistent	C-lim12_1
EG11153-MONOMER	P0A7X6	510.16538334	consistent	C-lim12_1
EG10857-MONOMER	P0A7Y0	530.79808656	consistent	C-lim12_1
EG10899-MONOMER	P0A800	332.61989454	consistent	C-lim12_1
EG10335-MONOMER	P0A805	527.37149322	consistent	C-lim12_1
EG10925-MONOMER	P0A814	404.19019026	consistent	C-lim12_1
S-ADENMETSYN-MONOMER	P0A817	428.60446248	consistent	C-lim12_1
EG10941-MONOMER	P0A821	744.6574842	consistent	C-lim12_1
EG10949-MONOMER	P0A823	683.5252932	consistent	C-lim12_1
DCTA-MONOMER	P0A830	668.7885078	consistent	C-lim12_1
EG11782-MONOMER	P0A832	810.024468	consistent	C-lim12_1
SUCCCOASYN-BETA	P0A836	702.867099	consistent	C-lim12_1
EG11817-MONOMER	P0A840	522.3578419800001	consistent	C-lim12_1
EG11305-MONOMER	P0A843	92.32078548	consistent	C-lim12_1
EG10996-MONOMER	P0A847	670.1220324	consistent	C-lim12_1
TRYPTOPHAN-MONOMER	P0A853	575.39403942	consistent	C-lim12_1
EG11008-MONOMER	P0A855	696.7513176	consistent	C-lim12_1
TPI-MONOMER	P0A858	647.7574008	consistent	C-lim12_1
G6660-MONOMER	P0A862	697.054887	consistent	C-lim12_1
TRANSALDOLA-MONOMER	P0A867	702.4006206	consistent	C-lim12_1
TRANSALDOLB-MONOMER	P0A870	721.3065677999999	consistent	C-lim12_1
EG11023-MONOMER	P0A873	563.6593570800001	consistent	C-lim12_1
TRYPSYN-BPROTEIN	P0A879	593.033064	consistent	C-lim12_1
PD00423	P0A881	539.49990966	consistent	C-lim12_1
THYMIDYLATESYN-MONOMER	P0A884	625.1651328	consistent	C-lim12_1
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	P0A887	493.39704972000004	consistent	C-lim12_1
EG12146-MONOMER	P0A894	724.3170702	consistent	C-lim12_1
EG11137-MONOMER	P0A8A0	454.8065739	consistent	C-lim12_1
EG11132-MONOMER	P0A8A4	656.132754	consistent	C-lim12_1
EG11179-MONOMER	P0A8A8	677.082435	consistent	C-lim12_1
EG11100-MONOMER	P0A8B5	458.1810795	consistent	C-lim12_1
EG11323-MONOMER	P0A8C4	545.4688865400001	consistent	C-lim12_1
G6568-MONOMER	P0A8E1	528.54698214	consistent	C-lim12_1
EG12605-MONOMER	P0A8E5	380.75979431999997	consistent	C-lim12_1
URACIL-PRIBOSYLTRANS-MONOMER	P0A8F0	712.1266788	consistent	C-lim12_1
UDK-MONOMER	P0A8F4	579.6703896	consistent	C-lim12_1
UXAC-MONOMER	P0A8G3	755.9762364	consistent	C-lim12_1
PD01343	P0A8G6	712.9541478	consistent	C-lim12_1
EG11835-MONOMER	P0A8H6	511.91699334	consistent	C-lim12_1
EG10011-MONOMER	P0A8I3	395.40703716	consistent	C-lim12_1
EG11779-MONOMER	P0A8I5	498.27616614000004	consistent	C-lim12_1
EG11254-MONOMER	P0A8I8	645.6890916	consistent	C-lim12_1
EG10244-MONOMER	P0A8J2	321.53111178	consistent	C-lim12_1
PSD-MONOMER	P0A8K1	796.7867946	consistent	C-lim12_1
SERS-MONOMER	P0A8L1	715.613157	consistent	C-lim12_1
ASNS-MONOMER	P0A8M0	695.3806943999999	consistent	C-lim12_1
THRS-MONOMER	P0A8M3	714.3546389999999	consistent	C-lim12_1
G7087-MONOMER	P0A8M6	652.60329	consistent	C-lim12_1
LYSS-MONOMER	P0A8N3	651.8419068	consistent	C-lim12_1
LYSU-MONOMER	P0A8N5	598.03621218	consistent	C-lim12_1
G7532-MONOMER	P0A8P3	578.87450586	consistent	C-lim12_1
EG11071-MONOMER	P0A8P8	272.9284452	consistent	C-lim12_1
EG12870-MONOMER	P0A8R7	675.3731664000001	consistent	C-lim12_1
EG11449-MONOMER	P0A8R9	602.883603	consistent	C-lim12_1
EG10490-MONOMER	P0A8S1	704.5847094000001	consistent	C-lim12_1
EG11497-MONOMER	P0A8T1	584.9845029	consistent	C-lim12_1
RPOC-MONOMER	P0A8T7	471.05767698	consistent	C-lim12_1
EG11650-MONOMER	P0A8U2	211.81833654	consistent	C-lim12_1
PD01520	P0A8V6	635.1980705999999	consistent	C-lim12_1
G7524-MONOMER	P0A8W5	506.45649108000003	consistent	C-lim12_1
EG11850-MONOMER	P0A8Y3	582.6532493999999	consistent	C-lim12_1
EG11195-MONOMER	P0A8Y5	606.84678	consistent	C-lim12_1
EG11121-MONOMER	P0A8Z0	677.741586	consistent	C-lim12_1
EG10658-MONOMER	P0A903	668.9078448	consistent	C-lim12_1
G6881-MONOMER	P0A905	576.8962956600001	consistent	C-lim12_1
EG10669-MONOMER	P0A910	847.022868	consistent	C-lim12_1
EG10684-MONOMER	P0A912	687.3385907999999	consistent	C-lim12_1
EG12117-MONOMER	P0A917	900.6636546	consistent	C-lim12_1
MONOMER0-341	P0A921	864.5115516	consistent	C-lim12_1
EG11035-MONOMER	P0A927	891.9542112	consistent	C-lim12_1
G7457-MONOMER	P0A935	269.98974876	consistent	C-lim12_1
G6093-MONOMER	P0A940	708.7815738	consistent	C-lim12_1
G7184-MONOMER	P0A959	585.6694386	consistent	C-lim12_1
ANSA-MONOMER	P0A962	771.9375084000001	consistent	C-lim12_1
CHEW-MONOMER	P0A964	287.64928914	consistent	C-lim12_1
EG12179-MONOMER	P0A972	180.12936449999998	consistent	C-lim12_1
EG10347-MONOMER	P0A9A6	171.75952320000002	consistent	C-lim12_1
GAPDH-A-MONOMER	P0A9B2	740.1066726	consistent	C-lim12_1
ERYTH4PDEHYDROG-MONOMER	P0A9B6	536.2046228400001	consistent	C-lim12_1
GLUTAMINESYN-MONOMER	P0A9C5	702.3967896	consistent	C-lim12_1
EG11517-MONOMER	P0A9C9	616.567335	consistent	C-lim12_1
SERINE-O-ACETTRAN-MONOMER	P0A9D4	615.0752904	consistent	C-lim12_1
MONOMER0-2001	P0A9D8	578.12393436	consistent	C-lim12_1
PD00242	P0A9E0	110.7242871	consistent	C-lim12_1
PD00197	P0A9E5	134.65647252	consistent	C-lim12_1
PD03938	P0A9F9	79.15100214	consistent	C-lim12_1
EG12717-MONOMER	P0A9H1	773.1446159999999	consistent	C-lim12_1
COBALADENOSYLTRANS-MONOMER	P0A9H5	599.2218933	consistent	C-lim12_1
