# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_to_flat_Clim_protease_assignments.py on Mon Dec  9 11:29:58 2024
"id"	"protease_assignment"	"ClpP"	"Lon"	"HslV"	"Unexplained"
"EG11100-MONOMER"	"Additive: ClpP, Lon, HslV"	0.3834618395223929	0.4187882865673612	0.1977498739102457	0.0
"MONOMER0-741"	"Additive: ClpP, Lon, HslV"	0.2255737593700952	0.4391041354051837	0.3353221052247211	0.0
"G7395-MONOMER"	"Additive: ClpP, Lon, HslV"	0.3064778311322938	0.3488833520416983	0.3446388168260079	0.0
"EG50003-MONOMER"	"Additive: ClpP, Lon, HslV"	0.3384821868859559	0.3434217240948128	0.3180960890192313	0.0
"EG11874-MONOMER"	"Additive: ClpP, Lon, HslV"	0.42127961222654	0.3246575119991103	0.2540628757743498	0.0
"EG12866-MONOMER"	"Additive: ClpP, Lon, HslV"	0.2909542232976917	0.5723306340023894	0.1367151426999189	0.0
"GLND-MONOMER"	"Additive: ClpP, Lon, HslV"	0.5316359967808061	0.3805469956499178	0.08247835860958329	0.005338648959692819
"EG10776-MONOMER"	"Additive: ClpP, Lon, HslV"	0.5461372414440729	0.3357934868701596	0.1051035201725958	0.01296575151317166
"G7326-MONOMER"	"Additive: ClpP, Lon, HslV"	0.5510491078882992	0.2270753205452031	0.2055586875236938	0.01631688404280404
"EG10687-MONOMER"	"Additive: ClpP, Lon, HslV"	0.4557810755518802	0.1734706554945651	0.3511420348708367	0.01960623408271815
"EG12308-MONOMER"	"Additive: ClpP, Lon, HslV"	0.5604658979126905	0.3948864591542473	0.01806362826155732	0.02658401467150481
"G7057-MONOMER"	"Additive: ClpP, Lon, HslV"	0.2432732282010168	0.2817675496854042	0.4475986837846367	0.02736053832894218
"EG11187-MONOMER"	"Additive: ClpP, Lon, HslV"	0.5364887775582662	0.1841433392989469	0.2488544653771275	0.03051341776565957
"EG12332-MONOMER"	"Additive: ClpP, Lon, HslV"	0.480731838615018	0.3768468634634417	0.111832163755529	0.03058913416601136
"EG10598-MONOMER"	"Additive: ClpP, Lon, HslV"	0.3091086079177796	0.06515504837649867	0.5883054330852214	0.03743091062050029
"EG11410-MONOMER"	"Additive: ClpP, Lon, HslV"	0.5487222182238243	0.2477210061293566	0.1650716058273788	0.03848516981944023
"EG11784-MONOMER"	"Additive: ClpP, Lon"	0.5612420121591221	0.3933877171339142	0.0	0.04537027070696378
"EG12386-MONOMER"	"Additive: ClpP, Lon, HslV"	0.3532386803630403	0.5281476337180628	0.06633685728686786	0.05227682863202891
"EG10975-MONOMER"	"Additive: ClpP, Lon, HslV"	0.4234175529995474	0.3247293027557136	0.1964805599793681	0.05537258426537083
"THI-P-KIN-MONOMER"	"Additive: ClpP, Lon, HslV"	0.2322266738247203	0.4390768368112499	0.2713839554040631	0.05731253395996667
"EG12690-MONOMER"	"Additive: ClpP, Lon, HslV"	0.2779719382201942	0.277364353473086	0.378556090604755	0.066107617701965
"PD03831"	"Additive: ClpP, Lon"	0.5199578915782244	0.4031223236631027	0.0	0.07691978475867288
"AROK-MONOMER"	"Additive: ClpP, Lon, HslV"	0.3194359283352617	0.4295110879755015	0.1671518602623916	0.0839011234268451
"G7263-MONOMER"	"Additive: ClpP, Lon, HslV"	0.1835257388193141	0.2060544659018618	0.5209322548615479	0.0894875404172763
"EG12289-MONOMER"	"Additive: ClpP, Lon, HslV"	0.3525269917056569	0.3211387340856484	0.2269161276492065	0.09941814655948829
