monomer_id	degradation_rate(1/s)	half_life_(min)	degradation_rate_source
ADENYLATECYC-MONOMER	0.00010611334768614784	108.86899020000001	Gupta_et_al_MS_2024
ADENYLOSUCCINATE-SYN-MONOMER	1.6808046107343406e-05	687.3168324000001	Gupta_et_al_MS_2024
ADENYLYLSULFKIN-MONOMER	9.865015562455541e-05	117.10526897999999	Gupta_et_al_MS_2024
ADHC-MONOMER	1.7787882896638073e-05	649.4563223999999	Gupta_et_al_MS_2024
ADHE-MONOMER	1.974655810065749e-05	585.03628584	Gupta_et_al_MS_2024
ADHP-MONOMER	0.0013027733686852398	8.867584560000001	Gupta_et_al_MS_2024
AERGLYC3PDEHYDROG-MONOMER	3.577918268846919e-05	322.8819705	Gupta_et_al_MS_2024
AGAB-MONOMER	2.6778822331275204e-05	431.40257873999997	Gupta_et_al_MS_2024
AGAC-MONOMER	1.925408834888737e-05	600.0	N_end_rule
AGAD-MONOMER	1.925408834888737e-05	600.0	N_end_rule
AGAX-MONOMER	0.00021943390177626515	52.64661894000001	Gupta_et_al_MS_2024
AGMATIN-MONOMER	1.5883103505385822e-05	727.3422984000001	Gupta_et_al_MS_2024
AICARTRANSIMPCYCLO-CPLX	1.9434587813949934e-05	594.42747744	Gupta_et_al_MS_2024
AIRS-MONOMER	1.691478147901402e-05	682.9797371999999	Gupta_et_al_MS_2024
AKBLIG-MONOMER	1.8510069977806346e-05	624.1171980000001	Gupta_et_al_MS_2024
ALARACEBIOSYN-MONOMER	1.5535463980371752e-05	743.6181516	Gupta_et_al_MS_2024
ALARACECAT-MONOMER	1.848735023400656e-05	624.8841972000001	Gupta_et_al_MS_2024
ALAS-MONOMER	1.723546362720935e-05	670.2722514	Gupta_et_al_MS_2024
ALDDEHYDROGB-MONOMER	2.4425513153985546e-05	472.96664502	Gupta_et_al_MS_2024
ALDHDEHYDROG-MONOMER	5.209765311512145e-05	221.74613094000003	Gupta_et_al_MS_2024
ALDOSE1EPIM-MONOMER	1.4426545156527443e-05	800.777517	Gupta_et_al_MS_2024
ALKAPHOSPHA-MONOMER	1.946580796393796e-05	593.47410756	Gupta_et_al_MS_2024
ALPHA-AMYL-CYTO-MONOMER	1.5346330036730596e-05	752.7827814	Gupta_et_al_MS_2024
ALPHA-AMYL-PERI-MONOMER	2.0315734693504884e-05	568.6455933599999	Gupta_et_al_MS_2024
ALPHACOMP-MONOMER	2.1200615166364768e-05	544.9112169	Gupta_et_al_MS_2024
ALPHAGALACTOSID-MONOMER	2.162808794781173e-05	534.14120736	Gupta_et_al_MS_2024
ALTRO-OXIDOREDUCT-MONOMER	2.1296085341655574e-05	542.4683844	Gupta_et_al_MS_2024
ALTRODEHYDRAT-MONOMER	3.914156801735029e-05	295.1453811	Gupta_et_al_MS_2024
AMINEOXID-MONOMER	2.984978777909442e-05	387.01960278	Gupta_et_al_MS_2024
AMP-NUCLEOSID-MONOMER	1.775194912481731e-05	650.7709620000002	Gupta_et_al_MS_2024
AMPG-MONOMER	4.237246692349302e-05	272.6405576100001	Gupta_et_al_MS_2024
AMTB-MONOMER	1.925408834888737e-05	600.0	N_end_rule
AMYLOMALT-MONOMER	1.331044384555129e-05	867.9239508000002	Gupta_et_al_MS_2024
ANGLYC3PDEHYDROGSUBUNITA-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ANGLYC3PDEHYDROGSUBUNITB-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ANGLYC3PDEHYDROGSUBUNITC-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ANSA-MONOMER	1.4965528794263756e-05	771.9375084000001	Gupta_et_al_MS_2024
ANSB-MONOMER	3.409194966054853e-05	338.86161174	Gupta_et_al_MS_2024
ANSP-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ANTHRANSYNCOMPI-MONOMER	1.980365632824556e-05	583.3494996000001	Gupta_et_al_MS_2024
ANTHRANSYNCOMPII-MONOMER	1.6284213308090868e-05	709.4265342	Gupta_et_al_MS_2024
APHA-MONOMER	1.921960390132069e-05	601.0765398	Gupta_et_al_MS_2024
APPA-MONOMER	1.5968774804748406e-05	723.4401606	Gupta_et_al_MS_2024
APPB-MONOMER	1.925408834888737e-05	600.0	N_end_rule
APPC-MONOMER	1.925408834888737e-05	600.0	N_end_rule
AQPZ-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ARABISOM-MONOMER	1.832810860780989e-05	630.3134304	Gupta_et_al_MS_2024
ARAE-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ARAF-MONOMER	1.4114992212035172e-05	818.4526662	Gupta_et_al_MS_2024
ARAG-MONOMER	2.9517091332153766e-05	391.3818228	Gupta_et_al_MS_2024
ARAH-MONOMER	2.436231683317749e-05	474.19352964	Gupta_et_al_MS_2024
ARAJ-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ARCA-MONOMER	1.8038108349322626e-05	640.447035	Gupta_et_al_MS_2024
ARCB-MONOMER	1.745320319173238e-05	661.9101882	Gupta_et_al_MS_2024
ARCD-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ARGDECARBOXBIO-MONOMER	1.9095587260012015e-05	604.9802424000001	Gupta_et_al_MS_2024
ARGDECARBOXDEG-MONOMER	1.6620017880211546e-05	695.0926944000001	Gupta_et_al_MS_2024
ARGS-MONOMER	1.8657672868064392e-05	619.1797386	Gupta_et_al_MS_2024
ARGSUCCINLYA-MONOMER	1.814662431070782e-05	636.6171918	Gupta_et_al_MS_2024
ARGSUCCINSYN-MONOMER	1.850974471233568e-05	624.1281654000001	Gupta_et_al_MS_2024
ARGSUCCTRAN-MONOMER	1.988633032652221e-05	580.92432438	Gupta_et_al_MS_2024
ARGT-MONOMER	1.651195719452738e-05	699.641652	Gupta_et_al_MS_2024
AROA-MONOMER	1.6382720482958823e-05	705.1608444000001	Gupta_et_al_MS_2024
AROB-MONOMER	2.1161138284470425e-05	545.92776882	Gupta_et_al_MS_2024
AROC-MONOMER	1.5271698836088024e-05	756.4615524000001	Gupta_et_al_MS_2024
AROD-MONOMER	1.917699063319695e-05	602.4121944	Gupta_et_al_MS_2024
AROE-MONOMER	2.1541741084468476e-05	536.2822328999999	Gupta_et_al_MS_2024
AROF-MONOMER	4.5397788563021155e-05	254.47171272000003	Gupta_et_al_MS_2024
AROG-MONOMER	1.8336581935451272e-05	630.0221628	Gupta_et_al_MS_2024
AROH-MONOMER	1.797513648303565e-05	642.6906978000001	Gupta_et_al_MS_2024
AROK-MONOMER	3.52066796374972e-05	328.13242056000007	Gupta_et_al_MS_2024
AROL-MONOMER	2.5086612714576226e-05	460.50270479999995	Gupta_et_al_MS_2024
AROP-MONOMER	1.6153185657265992e-05	715.1810951999998	Gupta_et_al_MS_2024
ARSF-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ARTI-MONOMER	1.6589332490634637e-05	696.3784116	Gupta_et_al_MS_2024
ARTJ-MONOMER	1.89514907862238e-05	609.5801718	Gupta_et_al_MS_2024
ARTM-MONOMER	3.470001801564507e-05	332.92354499999993	Gupta_et_al_MS_2024
ARTP-MONOMER	2.1031810281703468e-05	549.28476696	Gupta_et_al_MS_2024
ARTQ-MONOMER	1.6048834454442745e-05	719.8312776000001	Gupta_et_al_MS_2024
ARYLSULFAT-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ASCF-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ASL-MONOMER	1.7285719277848814e-05	668.3235348	Gupta_et_al_MS_2024
ASNS-MONOMER	1.6613134506560185e-05	695.3806943999999	Gupta_et_al_MS_2024
ASNSYNA-MONOMER	3.471791552579232e-05	332.75191884000003	Gupta_et_al_MS_2024
ASNSYNB-MONOMER	2.2576665112895307e-05	511.69882494	Gupta_et_al_MS_2024
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER	1.9201787173844013e-05	601.6342596000001	Gupta_et_al_MS_2024
ASPAMINOTRANS-MONOMER	1.867738789426125e-05	618.5261598000001	Gupta_et_al_MS_2024
ASPARTASE-MONOMER	2.7418501810341094e-05	421.33786482	Gupta_et_al_MS_2024
ASPCARBCAT-MONOMER	1.6454718011202522e-05	702.075417	Gupta_et_al_MS_2024
ASPCARBREG-MONOMER	2.110390163678163e-05	547.4083990799999	Gupta_et_al_MS_2024
ASPDECARBOX-MONOMER	6.205588693590779e-05	186.16208034	Gupta_et_al_MS_2024
ASPKINIHOMOSERDEHYDROGI-MONOMER	1.3978424070312519e-05	826.4488865999999	Gupta_et_al_MS_2024
ASPKINIIHOMOSERDEHYDROGII-MONOMER	1.96884233734946e-05	586.76374386	Gupta_et_al_MS_2024
ASPKINIII-MONOMER	2.2810807809204355e-05	506.44646634	Gupta_et_al_MS_2024
ASPS-MONOMER	1.5781796305982667e-05	732.011286	Gupta_et_al_MS_2024
ATOA-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ATOC-MONOMER	1.8236586590419053e-05	633.47671737	Gupta_et_al_MS_2024
ATOD-MONOMER	1.925408834888737e-05	600.0	N_end_rule
ATOS-MONOMER	2.9475852222231473e-05	391.92939774	Gupta_et_al_MS_2024
ATPA-MONOMER	1.5987479541720634e-05	722.5937634000001	Gupta_et_al_MS_2024
ATPB-MONOMER	1.5196567934643226e-05	760.2014519999999	Gupta_et_al_MS_2024
ATPC-MONOMER	1.6554965100612218e-05	697.824063	Gupta_et_al_MS_2024
ATPD-MONOMER	1.5443141547220757e-05	748.0636614	Gupta_et_al_MS_2024
ATPE-MONOMER	1.5264485791123177e-05	756.8190089999999	Gupta_et_al_MS_2024
ATPF-MONOMER	1.4845139856117351e-05	778.197654	Gupta_et_al_MS_2024
ATPG-MONOMER	1.5437188095567182e-05	748.3521569999998	Gupta_et_al_MS_2024
ATPH-MONOMER	1.5240204357401525e-05	758.0248098	Gupta_et_al_MS_2024
ATPPHOSRIBOSTRANS-MONOMER	2.470342670142686e-05	467.64577032000005	Gupta_et_al_MS_2024
B0070-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B0260-MONOMER	2.6101805642965456e-05	442.5921013799999	Gupta_et_al_MS_2024
B0270-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B0427-MONOMER	1.532080608491514e-05	754.0368923999998	Gupta_et_al_MS_2024
B0486-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B0511-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B0612-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B0709-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B0752-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B0770-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B0899-MONOMER	1.7215112857106754e-05	671.0646108000001	Gupta_et_al_MS_2024
B1006-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1065-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1296-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1433-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1543-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1596-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1599-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1600-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1634-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1657-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1690-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1691-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1775-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1791-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B1828-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B2075-MONOMER	2.0870940558962432e-05	553.51856217	Gupta_et_al_MS_2024
B2076-MONOMER	1.2836428733885308e-05	899.9740697999999	Gupta_et_al_MS_2024
B2077-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B2098-MONOMER	2.099956465114638e-05	550.12821462	Gupta_et_al_MS_2024
B2170-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B2246-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B2322-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B2372-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B2740-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B2771-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B2775-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B2789-MONOMER	3.8070697977447174e-05	303.44736564	Gupta_et_al_MS_2024
B2845-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B2975-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B3659-MONOMER	1.925408834888737e-05	600.0	N_end_rule
B4141-MONOMER	1.925408834888737e-05	600.0	N_end_rule
BADH-MONOMER	1.7147335272008216e-05	673.717101	Gupta_et_al_MS_2024
BAER-MONOMER	1.6398430796871504e-05	704.48527377	Gupta_et_al_MS_2024
BAES-MONOMER	1.709231237919541e-05	675.8859043200001	Gupta_et_al_MS_2024
BARA-MONOMER	1.6587722926646256e-05	696.4459836	Gupta_et_al_MS_2024
BASR-MONOMER	1.9730857341228334e-05	585.50182638	Gupta_et_al_MS_2024
BASS-MONOMER	1.612378310746862e-05	716.4852648	Gupta_et_al_MS_2024
BCCP-MONOMER	3.370211866258586e-05	342.78120984	Gupta_et_al_MS_2024
BCR-MONOMER	1.925408834888737e-05	600.0	N_end_rule
BETA-GLUCURONID-MONOMER	1.960452176120533e-05	589.2749208600001	Gupta_et_al_MS_2024
BETACOMP-MONOMER	3.0358446366803016e-05	380.5350534	Gupta_et_al_MS_2024
BETAGALACTOSID-MONOMER	1.8187786359449877e-05	635.176419	Gupta_et_al_MS_2024
BETT-MONOMER	1.4794368555587085e-05	780.8682719999999	Gupta_et_al_MS_2024
BGLF-MONOMER	1.925408834888737e-05	600.0	N_end_rule
BIOTIN-CARBOXYL-MONOMER	1.6484042466115687e-05	700.8264528000001	Gupta_et_al_MS_2024
BIOTIN-SYN-MONOMER	0.00010638610613381198	108.589866	Gupta_et_al_MS_2024
BIOTINLIG-MONOMER	2.4537527477705336e-05	470.80754244	Gupta_et_al_MS_2024
BRANCHED-CHAINAMINOTRANSFER-MONOMER	1.757235428065206e-05	657.4220406	Gupta_et_al_MS_2024
BRNQ-MONOMER	1.925408834888737e-05	600.0	N_end_rule
BTUC-MONOMER	1.925408834888737e-05	600.0	N_end_rule
BTUD-MONOMER	5.0899877656245465e-05	226.96425887999996	Gupta_et_al_MS_2024
BTUE-MONOMER	3.9656337688467895e-05	291.31416774	Gupta_et_al_MS_2024
CADB-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CAIC-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CAIE-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CAIT-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CARBODEHYDRAT-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CARBOXYL-TRANSFERASE-ALPHA-MONOMER	1.458254585445497e-05	792.2109846000001	Gupta_et_al_MS_2024
CARBOXYL-TRANSFERASE-BETA-MONOMER	1.674302441414492e-05	689.9860338	Gupta_et_al_MS_2024
CARBPSYN-LARGE	1.7972971087601387e-05	642.7681296	Gupta_et_al_MS_2024
CARBPSYN-SMALL	1.3655381807721538e-05	846.0	CL_measured_deg_rates_2020
CARDIOLIPSYN-MONOMER	1.3710321662834361e-05	842.6099178000001	Gupta_et_al_MS_2024
CARNDEHYDRA-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CARNRACE-MONOMER	2.1232983222452595e-05	544.0805415	Gupta_et_al_MS_2024
CCMA-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CCMB-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CCMC-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CCME-MONOMER	2.1268630521130286e-05	543.16863504	Gupta_et_al_MS_2024
CDPDIGLYPYPHOSPHA-MONOMER	1.4746165523163505e-05	783.4208148	Gupta_et_al_MS_2024
CDPDIGLYSYN-MONOMER	1.925408834888737e-05	600.0	CL_measured_deg_rates_2020
CELA-MONOMER	3.060351944155909e-05	377.48772756	Gupta_et_al_MS_2024
CELB-MONOMER	1.7417757718818526e-05	663.2571882	Gupta_et_al_MS_2024
CELC-MONOMER	0.00010552494212998153	109.47604212000002	Gupta_et_al_MS_2024
CFA-MONOMER	0.0001824735801345135	63.31027757999998	Gupta_et_al_MS_2024
CHAA-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CHAINF-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CHAINI-MONOMER	2.203972869547605e-05	524.16493728	Gupta_et_al_MS_2024
CHD-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CHEB-MONOMER	3.3218004608445386e-05	347.77685010000005	Gupta_et_al_MS_2024
CHER-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CHEW-MONOMER	4.0161590678257504e-05	287.64928914	Gupta_et_al_MS_2024
CHEY-MONOMER	3.174146246357123e-05	363.9546546600001	Gupta_et_al_MS_2024
CHEZ-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CHORISMUTPREPHENDEHYDRAT-MONOMER	1.701482749241176e-05	678.9638633999999	Gupta_et_al_MS_2024
CHORISMUTPREPHENDEHYDROG-MONOMER	2.4229209047846736e-05	476.79860232	Gupta_et_al_MS_2024
CHORPYRLY-MONOMER	2.5913171482943463e-05	445.8139374	Gupta_et_al_MS_2024
CITC-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CITRYLY-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CITSYN-MONOMER	1.746597466257441e-05	661.4261861999998	Gupta_et_al_MS_2024
CITTRANS-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CMPKI-MONOMER	1.92568028571426e-05	599.91542184	Gupta_et_al_MS_2024
CMR-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CMTA-MONOMER	3.071266387992228e-05	376.14623904000007	Gupta_et_al_MS_2024
CMTB-MONOMER	4.775355222964377e-05	241.91819184	Gupta_et_al_MS_2024
COBALADENOSYLTRANS-MONOMER	1.927909033114832e-05	599.2218933000001	Gupta_et_al_MS_2024
COBS-MONOMER	1.4096449856207368e-05	819.5292522	Gupta_et_al_MS_2024
COBU-MONOMER	2.4630574036103055e-05	469.02897968999997	Gupta_et_al_MS_2024
CODB-MONOMER	9.563235840634685e-05	120.80067041999999	Gupta_et_al_MS_2024
COPROGENOXI-MONOMER	1.879041987524361e-05	614.8054746	Gupta_et_al_MS_2024
CORA-MONOMER	1.6210188483128965e-05	712.6661742	Gupta_et_al_MS_2024
CPDB-MONOMER	1.3337501907377233e-05	866.1631758	Gupta_et_al_MS_2024
CPM-KDOSYNTH-MONOMER	1.734318661613403e-05	666.1090182000002	Gupta_et_al_MS_2024
CPXA-MONOMER	1.7252937841880666e-05	669.5933826000002	Gupta_et_al_MS_2024
CPXR-MONOMER	1.6145871465428116e-05	715.5050772	Gupta_et_al_MS_2024
CREB-MONOMER	1.6792753683181055e-05	687.94274169	Gupta_et_al_MS_2024
CREC-MONOMER	2.28255098882807e-05	506.1202604399999	Gupta_et_al_MS_2024
CROBETREDUCT-MONOMER	2.281021642482629e-05	506.45959662000007	Gupta_et_al_MS_2024
CRR-MONOMER	1.634287669647792e-05	706.8800202	Gupta_et_al_MS_2024
CTPSYN-MONOMER	1.4671974424940582e-05	787.3823028	Gupta_et_al_MS_2024
CYANLY-MONOMER	1.7501412874367792e-05	660.0868794	Gupta_et_al_MS_2024
CYCA-MONOMER	2.2430201995091735e-05	515.04007908	Gupta_et_al_MS_2024
CYCLASE-MONOMER	1.99844707330501e-05	578.0715018000002	Gupta_et_al_MS_2024
CYDA-MONOMER	1.341922236663469e-05	860.8884102000001	Gupta_et_al_MS_2024
CYDB-MONOMER	3.053374573624379e-05	378.35033766	Gupta_et_al_MS_2024
CYDC-MONOMER	2.21963243198738e-05	520.46694051	Gupta_et_al_MS_2024
CYDD-MONOMER	1.9446927870018635e-05	594.05028324	Gupta_et_al_MS_2024
CYNX-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CYOA-MONOMER	2.5400776425887634e-05	454.8070821	Gupta_et_al_MS_2024
CYOB-MONOMER	1.3123863931642003e-05	880.2630894	Gupta_et_al_MS_2024
CYOC-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CYOD-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CYSA-MONOMER	8.97733900163574e-05	128.6846025	Gupta_et_al_MS_2024
CYSD-MONOMER	6.449684475234838e-05	179.11656072	Gupta_et_al_MS_2024
CYSN-MONOMER	8.595327192075396e-05	134.40387726000003	Gupta_et_al_MS_2024
CYSP-MONOMER	1.873129451001719e-05	616.7461091999999	Gupta_et_al_MS_2024
CYSS-MONOMER	1.9374797007706893e-05	596.2618862400001	Gupta_et_al_MS_2024
CYST-MONOMER	2.73241768600752e-05	422.79235229999995	Gupta_et_al_MS_2024
CYSTATHIONINE-BETA-LYASE-MONOMER	1.967371447218996e-05	587.2024332599999	Gupta_et_al_MS_2024
CYSW-MONOMER	2.4651007979216675e-05	468.64018782000005	Gupta_et_al_MS_2024
CYTDEAM-MONOMER	1.3215448342692209e-05	874.162776	Gupta_et_al_MS_2024
CYTIDEAM-MONOMER	1.708804431713403e-05	676.0547196000001	Gupta_et_al_MS_2024
CYTOCHROME-B561-MONOMER	1.9106729192227863e-05	604.62745314	Gupta_et_al_MS_2024
CYTOCHROMEC-MONOMER	1.925408834888737e-05	600.0	N_end_rule
CYTOCHROMEC552-MONOMER	1.925408834888737e-05	600.0	N_end_rule
DALADALALIGA-MONOMER	1.760044306776495e-05	656.3728518000001	Gupta_et_al_MS_2024
DALADALALIGB-MONOMER	2.4359216113338683e-05	474.25389042	Gupta_et_al_MS_2024
DALADEHYDROGA-MONOMER	6.218802499735825e-05	185.76652032000004	Gupta_et_al_MS_2024
DAPASYN-MONOMER	1.625949057493901e-05	710.5052250000001	Gupta_et_al_MS_2024
DCTA-MONOMER	1.7273701438642483e-05	668.7885078000002	Gupta_et_al_MS_2024
DCTP-DEAM-MONOMER	2.4679697876359246e-05	468.09539838	Gupta_et_al_MS_2024
DCUA-MONOMER	2.285043685320544e-05	505.56814662000005	Gupta_et_al_MS_2024
DCUB-MONOMER	1.925408834888737e-05	600.0	N_end_rule
DCUC-MONOMER	1.925408834888737e-05	600.0	N_end_rule
DCUR-MONOMER	0.00010696715749381872	108.0	CL_measured_deg_rates_2020
DCUS-MONOMER	1.5640333465656875e-05	738.632142	Gupta_et_al_MS_2024
DCYSDESULF-MONOMER	2.2052125083892833e-05	523.87028304	Gupta_et_al_MS_2024
DEHYDDEOXGALACTKIN-MONOMER	1.925408834888737e-05	600.0	N_end_rule
DEHYDDEOXPHOSGALACT-ALDOL-MONOMER	3.203534244168358e-05	360.6158738699999	Gupta_et_al_MS_2024
DEOA-MONOMER	1.9528345893477126e-05	591.5735553000001	Gupta_et_al_MS_2024
DEOD-MONOMER	1.4192919351978756e-05	813.958899	Gupta_et_al_MS_2024
DEOXYGLUCONOKIN-MONOMER	1.709118714722009e-05	675.9304026000001	Gupta_et_al_MS_2024
DEOXYRIBOSE-P-ALD-MONOMER	3.0728068086770666e-05	375.95767416000007	Gupta_et_al_MS_2024
